code,name_ar,name_en,region,country_code,city_types
TN-97-003,مدينة الإعلام بالمدينة الاقتصادية التونسية,Media City Tunisia Economic City,بنزرت,TN,media_city
TN-97-004,المنطقة الحرة ببنزرت,Bizerte Free Zone,بنزرت,TN,free_zone
DZ-97-001,المنطقة الحرة بالجزائر,Algiers Free Zone,الجزائر,DZ,free_zone
DZ-97-002,مدينة الجزائر للإعلام,Algiers Media City,الجزائر,DZ,media_city
MA-97-001,مدينة الدار البيضاء المالية,Casablanca Finance City,الدار البيضاء,MA,economic_city;free_zone
MA-97-002,كازا ميديا سيتي,Casa Media City,الدار البيضاء,MA,media_city
MA-97-003,المنطقة الحرة بأكادير,Agadir Free Zone,أكادير,MA,free_zone
MA-97-004,المنطقة الحرة بالقنيطرة,Kenitra Free Zone,القنيطرة,MA,free_zone
LY-97-001,مدينة طرابلس الطبية,Tripoli Medical City,طرابلس,LY,health_city
LY-97-002,المنطقة الحرة بمصراتة,Misrata Free Zone,مصراتة,LY,free_zone
SD-97-001,مدينة سوبا الصناعية,Soba Industrial City,الخرطوم,SD,economic_city;industrial_city
SD-97-002,مدينة الخرطوم الطبية,Khartoum Medical City,الخرطوم,SD,health_city
SD-97-003,المنطقة الحرة ببورتسودان,Port Sudan Free Zone,بورتسودان,SD,free_zone
YE-97-001,المنطقة الحرة بعدن,Aden Free Zone,عدن,YE,free_zone
YE-97-002,مدينة صنعاء الطبية,Sana'a Medical City,صنعاء,YE,health_city
YE-97-003,مدينة اليمن للإعلام,Yemen Media City,صنعاء,YE,media_city
SO-97-001,مدينة بربرة الاقتصادية,Berbera Economic Zone,بربرة,SO,economic_city;free_zone
SO-97-002,مدينة مقديشو الطبية,Mogadishu Medical City,مقديشو,SO,health_city
SO-97-003,مدينة الصومال للإعلام,Somalia Media City,مقديشو,SO,media_city
DJ-97-001,المنطقة الحرة الدولية بجيبوتي,Djibouti International Free Trade Zone,جيبوتي,DJ,free_zone
DJ-97-002,مدينة جيبوتي الطبية,Djibouti Medical City,جيبوتي,DJ,health_city
DJ-97-003,مدينة جيبوتي للإعلام,Djibouti Media City,جيبوتي,DJ,media_city
MR-97-001,المنطقة الحرة بنواذيبو,Nouadhibou Free Zone,نواذيبو,MR,free_zone
MR-97-002,مدينة نواكشوط الطبية,Nouakchott Medical City,نواكشوط,MR,health_city
MR-97-003,مدينة موريتانيا للإعلام,Mauritania Media City,نواكشوط,MR,media_city
KM-97-001,المنطقة الحرة بموروني,Moroni Free Zone,موروني,KM,free_zone
KM-97-002,مدينة موروني الطبية,Moroni Medical City,موروني,KM,health_city
KM-97-003,مدينة جزر القمر للإعلام,Comoros Media City,موروني,KM,media_city
