model_code,risk_factor_code,score
awqaf_maintenance_activity_small_model,financial,55
awqaf_maintenance_activity_small_model,reputation,45
awqaf_maintenance_activity_medium_model,competition,60
awqaf_maintenance_activity_medium_model,regulatory,40
awqaf_maintenance_activity_medium_model,demand,50
awqaf_maintenance_activity_medium_model,location,55
awqaf_maintenance_activity_medium_model,staff,45
awqaf_maintenance_activity_medium_model,technology,35
awqaf_maintenance_activity_medium_model,financial,50
awqaf_maintenance_activity_medium_model,reputation,40
awqaf_maintenance_activity_large_model,competition,55
awqaf_maintenance_activity_large_model,regulatory,35
awqaf_maintenance_activity_large_model,demand,45
awqaf_maintenance_activity_large_model,location,50
awqaf_maintenance_activity_large_model,staff,40
awqaf_maintenance_activity_large_model,technology,30
awqaf_maintenance_activity_large_model,financial,45
awqaf_maintenance_activity_large_model,reputation,35
awqaf_cleaning_activity_small_model,competition,65
awqaf_cleaning_activity_small_model,regulatory,45
awqaf_cleaning_activity_small_model,demand,55
awqaf_cleaning_activity_small_model,location,60
awqaf_cleaning_activity_small_model,staff,50
awqaf_cleaning_activity_small_model,technology,40
awqaf_cleaning_activity_small_model,financial,55
awqaf_cleaning_activity_small_model,reputation,45
awqaf_cleaning_activity_medium_model,competition,60
awqaf_cleaning_activity_medium_model,regulatory,40
awqaf_cleaning_activity_medium_model,demand,50
awqaf_cleaning_activity_medium_model,location,55
awqaf_cleaning_activity_medium_model,staff,45
awqaf_cleaning_activity_medium_model,technology,35
awqaf_cleaning_activity_medium_model,financial,50
awqaf_cleaning_activity_medium_model,reputation,40
awqaf_cleaning_activity_large_model,competition,55
awqaf_cleaning_activity_large_model,regulatory,35
awqaf_cleaning_activity_large_model,demand,45
awqaf_cleaning_activity_large_model,location,50
awqaf_cleaning_activity_large_model,staff,40
awqaf_cleaning_activity_large_model,technology,30
awqaf_cleaning_activity_large_model,financial,45
awqaf_cleaning_activity_large_model,reputation,35
awqaf_security_activity_small_model,competition,65
awqaf_security_activity_small_model,regulatory,45
awqaf_security_activity_small_model,demand,55
awqaf_security_activity_small_model,location,60
awqaf_security_activity_small_model,staff,50
awqaf_security_activity_small_model,technology,40
awqaf_security_activity_small_model,financial,55
awqaf_security_activity_small_model,reputation,45
awqaf_security_activity_medium_model,competition,60
awqaf_security_activity_medium_model,regulatory,40
awqaf_security_activity_medium_model,demand,50
awqaf_security_activity_medium_model,location,55
awqaf_security_activity_medium_model,staff,45
awqaf_security_activity_medium_model,technology,35
awqaf_security_activity_medium_model,financial,50
awqaf_security_activity_medium_model,reputation,40
awqaf_security_activity_large_model,competition,55
awqaf_security_activity_large_model,regulatory,35
awqaf_security_activity_large_model,demand,45
awqaf_security_activity_large_model,location,50
awqaf_security_activity_large_model,staff,40
awqaf_security_activity_large_model,technology,30
awqaf_security_activity_large_model,financial,45
awqaf_security_activity_large_model,reputation,35
education_schools_activity_small_model,competition,65
education_schools_activity_small_model,regulatory,45
education_schools_activity_small_model,demand,55
education_schools_activity_small_model,location,60
education_schools_activity_small_model,staff,50
education_schools_activity_small_model,technology,40
education_schools_activity_small_model,financial,55
education_schools_activity_small_model,reputation,45
education_schools_activity_medium_model,competition,60
education_schools_activity_medium_model,regulatory,40
education_schools_activity_medium_model,demand,50
education_schools_activity_medium_model,location,55
education_schools_activity_medium_model,staff,45
education_schools_activity_medium_model,technology,35
education_schools_activity_medium_model,financial,50
education_schools_activity_medium_model,reputation,40
education_schools_activity_large_model,competition,55
education_schools_activity_large_model,regulatory,35
education_schools_activity_large_model,demand,45
education_schools_activity_large_model,location,50
education_schools_activity_large_model,staff,40
education_schools_activity_large_model,technology,30
education_schools_activity_large_model,financial,45
education_schools_activity_large_model,reputation,35
education_training_activity_small_model,competition,65
education_training_activity_small_model,regulatory,45
education_training_activity_small_model,demand,55
education_training_activity_small_model,location,60
education_training_activity_small_model,staff,50
education_training_activity_small_model,technology,40
education_training_activity_small_model,financial,55
education_training_activity_small_model,reputation,45
education_training_activity_medium_model,competition,60
education_training_activity_medium_model,regulatory,40
education_training_activity_medium_model,demand,50
education_training_activity_medium_model,location,55
education_training_activity_medium_model,staff,45
education_training_activity_medium_model,technology,35
education_training_activity_medium_model,financial,50
education_training_activity_medium_model,reputation,40
education_training_activity_large_model,competition,55
education_training_activity_large_model,regulatory,35
education_training_activity_large_model,demand,45
education_training_activity_large_model,location,50
education_training_activity_large_model,staff,40
education_training_activity_large_model,technology,30
education_training_activity_large_model,financial,45
education_training_activity_large_model,reputation,35
education_universities_activity_small_model,competition,65
education_universities_activity_small_model,regulatory,45
education_universities_activity_small_model,demand,55
education_universities_activity_small_model,location,60
education_universities_activity_small_model,staff,50
education_universities_activity_small_model,technology,40
education_universities_activity_small_model,financial,55
education_universities_activity_small_model,reputation,45
education_universities_activity_medium_model,competition,60
education_universities_activity_medium_model,regulatory,40
education_universities_activity_medium_model,demand,50
education_universities_activity_medium_model,location,55
education_universities_activity_medium_model,staff,45
education_universities_activity_medium_model,technology,35
education_universities_activity_medium_model,financial,50
education_universities_activity_medium_model,reputation,40
education_universities_activity_large_model,competition,55
education_universities_activity_large_model,regulatory,35
education_universities_activity_large_model,demand,45
education_universities_activity_large_model,location,50
education_universities_activity_large_model,staff,40
education_universities_activity_large_model,technology,30
education_universities_activity_large_model,financial,45
education_universities_activity_large_model,reputation,35
education_elearning_activity_small_model,competition,65
education_elearning_activity_small_model,regulatory,45
education_elearning_activity_small_model,demand,55
education_elearning_activity_small_model,location,60
education_elearning_activity_small_model,staff,50
education_elearning_activity_small_model,technology,40
education_elearning_activity_small_model,financial,55
education_elearning_activity_small_model,reputation,45
education_elearning_activity_medium_model,competition,60
education_elearning_activity_medium_model,regulatory,40
education_elearning_activity_medium_model,demand,50
education_elearning_activity_medium_model,location,55
education_elearning_activity_medium_model,staff,45
education_elearning_activity_medium_model,technology,35
education_elearning_activity_medium_model,financial,50
education_elearning_activity_medium_model,reputation,40
education_elearning_activity_large_model,competition,55
education_elearning_activity_large_model,regulatory,35
education_elearning_activity_large_model,demand,45
education_elearning_activity_large_model,location,50
education_elearning_activity_large_model,staff,40
education_elearning_activity_large_model,technology,30
education_elearning_activity_large_model,financial,45
education_elearning_activity_large_model,reputation,35
industrial_factories_activity_small_model,competition,65
industrial_factories_activity_small_model,regulatory,45
industrial_factories_activity_small_model,demand,55
industrial_factories_activity_small_model,location,60
industrial_factories_activity_small_model,staff,50
industrial_factories_activity_small_model,technology,90
industrial_factories_activity_small_model,financial,100
industrial_factories_activity_small_model,reputation,45
industrial_factories_activity_medium_model,competition,60
industrial_factories_activity_medium_model,regulatory,40
industrial_factories_activity_medium_model,demand,50
industrial_factories_activity_medium_model,location,55
industrial_factories_activity_medium_model,staff,45
industrial_factories_activity_medium_model,technology,85
industrial_factories_activity_medium_model,financial,100
industrial_factories_activity_medium_model,reputation,40
industrial_factories_activity_large_model,competition,55
industrial_factories_activity_large_model,regulatory,35
industrial_factories_activity_large_model,demand,45
industrial_factories_activity_large_model,location,50
industrial_factories_activity_large_model,staff,40
industrial_factories_activity_large_model,technology,80
industrial_factories_activity_large_model,financial,100
industrial_factories_activity_large_model,reputation,35
industrial_workshops_activity_small_model,competition,65
industrial_workshops_activity_small_model,regulatory,45
industrial_workshops_activity_small_model,demand,55
industrial_workshops_activity_small_model,location,60
industrial_workshops_activity_small_model,staff,50
industrial_workshops_activity_small_model,technology,90
industrial_workshops_activity_small_model,financial,100
industrial_workshops_activity_small_model,reputation,45
industrial_workshops_activity_medium_model,competition,60
industrial_workshops_activity_medium_model,regulatory,40
industrial_workshops_activity_medium_model,demand,50
industrial_workshops_activity_medium_model,location,55
industrial_workshops_activity_medium_model,staff,45
industrial_workshops_activity_medium_model,technology,85
industrial_workshops_activity_medium_model,financial,100
industrial_workshops_activity_medium_model,reputation,40
industrial_workshops_activity_large_model,competition,55
industrial_workshops_activity_large_model,regulatory,35
industrial_workshops_activity_large_model,demand,45
industrial_workshops_activity_large_model,location,50
industrial_workshops_activity_large_model,staff,40
industrial_workshops_activity_large_model,technology,80
industrial_workshops_activity_large_model,financial,100
industrial_workshops_activity_large_model,reputation,35
industrial_assembly_activity_small_model,competition,65
industrial_assembly_activity_small_model,regulatory,45
industrial_assembly_activity_small_model,demand,55
industrial_assembly_activity_small_model,location,60
industrial_assembly_activity_small_model,staff,50
industrial_assembly_activity_small_model,technology,90
industrial_assembly_activity_small_model,financial,100
industrial_assembly_activity_small_model,reputation,45
industrial_assembly_activity_medium_model,competition,60
industrial_assembly_activity_medium_model,regulatory,40
industrial_assembly_activity_medium_model,demand,50
industrial_assembly_activity_medium_model,location,55
industrial_assembly_activity_medium_model,staff,45
industrial_assembly_activity_medium_model,technology,85
industrial_assembly_activity_medium_model,financial,100
industrial_assembly_activity_medium_model,reputation,40
industrial_assembly_activity_large_model,competition,55
industrial_assembly_activity_large_model,regulatory,35
industrial_assembly_activity_large_model,demand,45
industrial_assembly_activity_large_model,location,50
industrial_assembly_activity_large_model,staff,40
industrial_assembly_activity_large_model,technology,80
industrial_assembly_activity_large_model,financial,100
industrial_assembly_activity_large_model,reputation,35
industrial_packaging_activity_small_model,competition,65
industrial_packaging_activity_small_model,regulatory,45
industrial_packaging_activity_small_model,demand,55
industrial_packaging_activity_small_model,location,60
industrial_packaging_activity_small_model,staff,50
industrial_packaging_activity_small_model,technology,90
industrial_packaging_activity_small_model,financial,100
industrial_packaging_activity_small_model,reputation,45
industrial_packaging_activity_medium_model,competition,60
industrial_packaging_activity_medium_model,regulatory,40
industrial_packaging_activity_medium_model,demand,50
industrial_packaging_activity_medium_model,location,55
industrial_packaging_activity_medium_model,staff,45
industrial_packaging_activity_medium_model,technology,85
industrial_packaging_activity_medium_model,financial,100
industrial_packaging_activity_medium_model,reputation,40
industrial_packaging_activity_large_model,competition,55
industrial_packaging_activity_large_model,regulatory,35
industrial_packaging_activity_large_model,demand,45
industrial_packaging_activity_large_model,location,50
industrial_packaging_activity_large_model,staff,40
industrial_packaging_activity_large_model,technology,80
industrial_packaging_activity_large_model,financial,100
industrial_packaging_activity_large_model,reputation,35
food_industries_restaurants_activity_small_model,competition,65
food_industries_restaurants_activity_small_model,regulatory,80
food_industries_restaurants_activity_small_model,demand,100
food_industries_restaurants_activity_small_model,location,60
food_industries_restaurants_activity_small_model,staff,50
food_industries_restaurants_activity_small_model,technology,40
food_industries_restaurants_activity_small_model,financial,55
food_industries_restaurants_activity_small_model,reputation,100
food_industries_restaurants_activity_medium_model,competition,60
food_industries_restaurants_activity_medium_model,regulatory,75
food_industries_restaurants_activity_medium_model,demand,100
food_industries_restaurants_activity_medium_model,location,55
food_industries_restaurants_activity_medium_model,staff,45
food_industries_restaurants_activity_medium_model,technology,35
food_industries_restaurants_activity_medium_model,financial,50
food_industries_restaurants_activity_medium_model,reputation,95
food_industries_restaurants_activity_large_model,competition,55
food_industries_restaurants_activity_large_model,regulatory,70
food_industries_restaurants_activity_large_model,demand,100
food_industries_restaurants_activity_large_model,location,50
food_industries_restaurants_activity_large_model,staff,40
food_industries_restaurants_activity_large_model,technology,30
food_industries_restaurants_activity_large_model,financial,45
food_industries_restaurants_activity_large_model,reputation,90
food_industries_cafes_activity_small_model,competition,65
food_industries_cafes_activity_small_model,regulatory,80
food_industries_cafes_activity_small_model,demand,100
food_industries_cafes_activity_small_model,location,60
food_industries_cafes_activity_small_model,staff,50
food_industries_cafes_activity_small_model,technology,40
food_industries_cafes_activity_small_model,financial,55
food_industries_cafes_activity_small_model,reputation,100
food_industries_cafes_activity_medium_model,competition,60
food_industries_cafes_activity_medium_model,regulatory,75
food_industries_cafes_activity_medium_model,demand,100
food_industries_cafes_activity_medium_model,location,55
food_industries_cafes_activity_medium_model,staff,45
food_industries_cafes_activity_medium_model,technology,35
food_industries_cafes_activity_medium_model,financial,50
food_industries_cafes_activity_medium_model,reputation,95
food_industries_cafes_activity_large_model,competition,55
food_industries_cafes_activity_large_model,regulatory,70
food_industries_cafes_activity_large_model,demand,100
food_industries_cafes_activity_large_model,location,50
food_industries_cafes_activity_large_model,staff,40
food_industries_cafes_activity_large_model,technology,30
food_industries_cafes_activity_large_model,financial,45
food_industries_cafes_activity_large_model,reputation,90
food_industries_catering_activity_small_model,competition,65
food_industries_catering_activity_small_model,regulatory,80
food_industries_catering_activity_small_model,demand,100
food_industries_catering_activity_small_model,location,60
food_industries_catering_activity_small_model,staff,50
food_industries_catering_activity_small_model,technology,40
food_industries_catering_activity_small_model,financial,55
food_industries_catering_activity_small_model,reputation,100
food_industries_catering_activity_medium_model,competition,60
food_industries_catering_activity_medium_model,regulatory,75
food_industries_catering_activity_medium_model,demand,100
food_industries_catering_activity_medium_model,location,55
food_industries_catering_activity_medium_model,staff,45
food_industries_catering_activity_medium_model,technology,35
food_industries_catering_activity_medium_model,financial,50
food_industries_catering_activity_medium_model,reputation,95
food_industries_catering_activity_large_model,competition,55
food_industries_catering_activity_large_model,regulatory,70
food_industries_catering_activity_large_model,demand,100
food_industries_catering_activity_large_model,location,50
food_industries_catering_activity_large_model,staff,40
food_industries_catering_activity_large_model,technology,30
food_industries_catering_activity_large_model,financial,45
food_industries_catering_activity_large_model,reputation,90
food_industries_fast_food_activity_small_model,competition,65
food_industries_fast_food_activity_small_model,regulatory,80
food_industries_fast_food_activity_small_model,demand,100
food_industries_fast_food_activity_small_model,location,60
food_industries_fast_food_activity_small_model,staff,50
food_industries_fast_food_activity_small_model,technology,40
food_industries_fast_food_activity_small_model,financial,55
food_industries_fast_food_activity_small_model,reputation,100
food_industries_fast_food_activity_medium_model,competition,60
food_industries_fast_food_activity_medium_model,regulatory,75
food_industries_fast_food_activity_medium_model,demand,100
food_industries_fast_food_activity_medium_model,location,55
food_industries_fast_food_activity_medium_model,staff,45
food_industries_fast_food_activity_medium_model,technology,35
food_industries_fast_food_activity_medium_model,financial,50
food_industries_fast_food_activity_medium_model,reputation,95
food_industries_fast_food_activity_large_model,competition,55
food_industries_fast_food_activity_large_model,regulatory,70
food_industries_fast_food_activity_large_model,demand,100
food_industries_fast_food_activity_large_model,location,50
food_industries_fast_food_activity_large_model,staff,40
food_industries_fast_food_activity_large_model,technology,30
food_industries_fast_food_activity_large_model,financial,45
food_industries_fast_food_activity_large_model,reputation,90
pharmaceutical_industries_consulting_activity_small_model,competition,65
pharmaceutical_industries_consulting_activity_small_model,regulatory,45
pharmaceutical_industries_consulting_activity_small_model,demand,55
pharmaceutical_industries_consulting_activity_small_model,location,60
pharmaceutical_industries_consulting_activity_small_model,staff,50
pharmaceutical_industries_consulting_activity_small_model,technology,40
pharmaceutical_industries_consulting_activity_small_model,financial,55
pharmaceutical_industries_consulting_activity_small_model,reputation,45
pharmaceutical_industries_consulting_activity_medium_model,competition,60
pharmaceutical_industries_consulting_activity_medium_model,regulatory,40
pharmaceutical_industries_consulting_activity_medium_model,demand,50
pharmaceutical_industries_consulting_activity_medium_model,location,55
pharmaceutical_industries_consulting_activity_medium_model,staff,45
pharmaceutical_industries_consulting_activity_medium_model,technology,35
pharmaceutical_industries_consulting_activity_medium_model,financial,50
pharmaceutical_industries_consulting_activity_medium_model,reputation,40
pharmaceutical_industries_consulting_activity_large_model,competition,55
pharmaceutical_industries_consulting_activity_large_model,regulatory,35
pharmaceutical_industries_consulting_activity_large_model,demand,45
pharmaceutical_industries_consulting_activity_large_model,location,50
pharmaceutical_industries_consulting_activity_large_model,staff,40
pharmaceutical_industries_consulting_activity_large_model,technology,30
pharmaceutical_industries_consulting_activity_large_model,financial,45
pharmaceutical_industries_consulting_activity_large_model,reputation,35
pharmaceutical_industries_maintenance_activity_small_model,competition,65
pharmaceutical_industries_maintenance_activity_small_model,regulatory,45
pharmaceutical_industries_maintenance_activity_small_model,demand,55
pharmaceutical_industries_maintenance_activity_small_model,location,60
pharmaceutical_industries_maintenance_activity_small_model,staff,50
pharmaceutical_industries_maintenance_activity_small_model,technology,40
pharmaceutical_industries_maintenance_activity_small_model,financial,55
pharmaceutical_industries_maintenance_activity_small_model,reputation,45
pharmaceutical_industries_maintenance_activity_medium_model,competition,60
pharmaceutical_industries_maintenance_activity_medium_model,regulatory,40
pharmaceutical_industries_maintenance_activity_medium_model,demand,50
pharmaceutical_industries_maintenance_activity_medium_model,location,55
pharmaceutical_industries_maintenance_activity_medium_model,staff,45
pharmaceutical_industries_maintenance_activity_medium_model,technology,35
pharmaceutical_industries_maintenance_activity_medium_model,financial,50
pharmaceutical_industries_maintenance_activity_medium_model,reputation,40
pharmaceutical_industries_maintenance_activity_large_model,competition,55
pharmaceutical_industries_maintenance_activity_large_model,regulatory,35
pharmaceutical_industries_maintenance_activity_large_model,demand,45
pharmaceutical_industries_maintenance_activity_large_model,location,50
pharmaceutical_industries_maintenance_activity_large_model,staff,40
pharmaceutical_industries_maintenance_activity_large_model,technology,30
pharmaceutical_industries_maintenance_activity_large_model,financial,45
pharmaceutical_industries_maintenance_activity_large_model,reputation,35
pharmaceutical_industries_cleaning_activity_small_model,competition,65
pharmaceutical_industries_cleaning_activity_small_model,regulatory,45
pharmaceutical_industries_cleaning_activity_small_model,demand,55
pharmaceutical_industries_cleaning_activity_small_model,location,60
pharmaceutical_industries_cleaning_activity_small_model,staff,50
pharmaceutical_industries_cleaning_activity_small_model,technology,40
pharmaceutical_industries_cleaning_activity_small_model,financial,55
pharmaceutical_industries_cleaning_activity_small_model,reputation,45
pharmaceutical_industries_cleaning_activity_medium_model,competition,60
pharmaceutical_industries_cleaning_activity_medium_model,regulatory,40
pharmaceutical_industries_cleaning_activity_medium_model,demand,50
pharmaceutical_industries_cleaning_activity_medium_model,location,55
