activity_detail_code,requirement_name_ar,requirement_name_en,issuing_authority,estimated_cost,mandatory,sort_order
education_universities_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,64
education_universities_activity_medium,ترخيص وزارة التعليم,Ministry of Education License,Ministry of Education,10000,true,65
education_universities_activity_medium,اعتماد برامج تدريبية,Training Program Accreditation,TVTC,5000,true,66
education_elearning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,67
education_elearning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,68
education_elearning_activity_medium,ترخيص وزارة التعليم,Ministry of Education License,Ministry of Education,10000,true,69
education_elearning_activity_medium,اعتماد برامج تدريبية,Training Program Accreditation,TVTC,5000,true,70
industrial_factories_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,71
industrial_factories_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,72
industrial_factories_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,73
industrial_factories_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,74
industrial_workshops_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,75
industrial_workshops_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,76
industrial_workshops_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,77
industrial_workshops_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,78
industrial_assembly_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,79
industrial_assembly_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,80
industrial_assembly_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,81
industrial_assembly_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,82
industrial_packaging_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,83
industrial_packaging_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,84
industrial_packaging_activity_medium,ترخيص مصنع,Factory License,Ministry of Industry,20000,true,85
industrial_packaging_activity_medium,تصريح بيئي,Environmental Permit,Ministry of Environment,10000,true,86
food_industries_restaurants_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,87
food_industries_restaurants_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,88
food_industries_restaurants_activity_medium,ترخيص هيئة الغذاء والدواء,SFDA License,SFDA,8000,true,89
food_industries_restaurants_activity_medium,شهادة سلامة الغذاء,Food Safety Certificate,Municipality,2500,true,90
food_industries_cafes_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,91
food_industries_cafes_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,92
food_industries_cafes_activity_medium,ترخيص هيئة الغذاء والدواء,SFDA License,SFDA,8000,true,93
food_industries_cafes_activity_medium,شهادة سلامة الغذاء,Food Safety Certificate,Municipality,2500,true,94
food_industries_catering_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,95
food_industries_catering_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,96
food_industries_catering_activity_medium,ترخيص هيئة الغذاء والدواء,SFDA License,SFDA,8000,true,97
food_industries_catering_activity_medium,شهادة سلامة الغذاء,Food Safety Certificate,Municipality,2500,true,98
food_industries_fast_food_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,99
food_industries_fast_food_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,100
food_industries_fast_food_activity_medium,ترخيص هيئة الغذاء والدواء,SFDA License,SFDA,8000,true,101
food_industries_fast_food_activity_medium,شهادة سلامة الغذاء,Food Safety Certificate,Municipality,2500,true,102
pharmaceutical_industries_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,103
pharmaceutical_industries_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,104
pharmaceutical_industries_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,105
pharmaceutical_industries_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,106
pharmaceutical_industries_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,107
pharmaceutical_industries_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,108
pharmaceutical_industries_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,109
pharmaceutical_industries_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,110
pharmaceutical_industries_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,111
pharmaceutical_industries_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,112
pharmaceutical_industries_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,113
pharmaceutical_industries_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,114
pharmaceutical_industries_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,115
pharmaceutical_industries_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,116
pharmaceutical_industries_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,117
pharmaceutical_industries_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,118
chemical_industries_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,119
chemical_industries_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,120
chemical_industries_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,121
chemical_industries_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,122
chemical_industries_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,123
chemical_industries_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,124
chemical_industries_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,125
chemical_industries_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,126
chemical_industries_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,127
chemical_industries_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,128
chemical_industries_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,129
chemical_industries_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,130
chemical_industries_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,131
chemical_industries_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,132
chemical_industries_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,133
chemical_industries_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,134
mining_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,135
mining_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,136
mining_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,137
mining_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,138
mining_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,139
mining_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,140
mining_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,141
mining_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,142
mining_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,143
mining_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,144
mining_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,145
mining_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,146
mining_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,147
mining_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,148
mining_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,149
mining_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,150
geology_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,151
geology_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,152
geology_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,153
geology_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,154
geology_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,155
geology_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,156
geology_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,157
geology_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,158
geology_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,159
geology_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,160
geology_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,161
geology_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,162
geology_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,163
geology_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,164
geology_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,165
geology_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,166
oil_gas_renewable_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,167
oil_gas_renewable_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,168
oil_gas_renewable_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,169
oil_gas_renewable_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,170
oil_gas_oil_gas_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,171
oil_gas_oil_gas_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,172
oil_gas_oil_gas_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,173
oil_gas_oil_gas_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,174
oil_gas_utilities_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,175
oil_gas_utilities_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,176
oil_gas_utilities_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,177
oil_gas_utilities_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,178
oil_gas_efficiency_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,179
oil_gas_efficiency_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,180
oil_gas_efficiency_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,181
oil_gas_efficiency_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,182
oil_refineries_renewable_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,183
oil_refineries_renewable_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,184
oil_refineries_renewable_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,185
oil_refineries_renewable_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,186
oil_refineries_oil_gas_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,187
oil_refineries_oil_gas_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,188
oil_refineries_oil_gas_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,189
oil_refineries_oil_gas_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,190
oil_refineries_utilities_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,191
oil_refineries_utilities_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,192
oil_refineries_utilities_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,193
oil_refineries_utilities_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,194
oil_refineries_efficiency_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,195
oil_refineries_efficiency_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,196
oil_refineries_efficiency_activity_medium,ترخيص وزارة الطاقة,Ministry of Energy License,Ministry of Energy,30000,true,197
oil_refineries_efficiency_activity_medium,موافقة هيئة الكهرباء,Electricity Authority Approval,Saudi Electricity Company,12000,true,198
metal_refineries_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,199
metal_refineries_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,200
metal_refineries_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,201
metal_refineries_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,202
metal_refineries_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,203
metal_refineries_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,204
metal_refineries_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,205
metal_refineries_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,206
metal_refineries_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,207
metal_refineries_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,208
metal_refineries_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,209
metal_refineries_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,210
metal_refineries_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,211
metal_refineries_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,212
metal_refineries_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,213
metal_refineries_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,214
water_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,215
water_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,216
water_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,217
water_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,218
water_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,219
water_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,220
water_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,221
water_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,222
water_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,223
water_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,224
water_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,225
water_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,226
water_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,227
water_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,228
water_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,229
water_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,230
well_drilling_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,231
well_drilling_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,232
well_drilling_consulting_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,233
well_drilling_consulting_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,234
well_drilling_maintenance_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,235
well_drilling_maintenance_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,236
well_drilling_maintenance_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,237
well_drilling_maintenance_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,238
well_drilling_cleaning_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,239
well_drilling_cleaning_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,240
well_drilling_cleaning_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,241
well_drilling_cleaning_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,242
well_drilling_security_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,243
well_drilling_security_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,244
well_drilling_security_activity_medium,ترخيص مزاولة مهنة,Professional Practice License,Relevant Authority,3000,true,245
well_drilling_security_activity_medium,تأمين المسؤولية المهنية,Professional Liability Insurance,Insurance Company,4000,true,246
agriculture_farming_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,247
agriculture_farming_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,248
agriculture_farming_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,249
agriculture_farming_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,250
agriculture_livestock_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,251
agriculture_livestock_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,252
agriculture_livestock_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,253
agriculture_livestock_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,254
agriculture_processing_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,255
agriculture_processing_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,256
agriculture_processing_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,257
agriculture_processing_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,258
agriculture_distribution_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,259
agriculture_distribution_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,260
agriculture_distribution_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,261
agriculture_distribution_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,262
agricultural_inputs_farming_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,263
agricultural_inputs_farming_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,264
agricultural_inputs_farming_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,265
agricultural_inputs_farming_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,266
agricultural_inputs_livestock_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,267
agricultural_inputs_livestock_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,268
agricultural_inputs_livestock_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,269
agricultural_inputs_livestock_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,270
agricultural_inputs_processing_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,271
agricultural_inputs_processing_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,272
agricultural_inputs_processing_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,273
agricultural_inputs_processing_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,274
agricultural_inputs_distribution_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,275
agricultural_inputs_distribution_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,276
agricultural_inputs_distribution_activity_medium,ترخيص زراعي,Agricultural License,Ministry of Environment,4000,true,277
agricultural_inputs_distribution_activity_medium,شهادة صحة حيوانية,Veterinary Health Certificate,Ministry of Agriculture,3000,true,278
desertification_control_consulting_activity_medium,سجل تجاري,Commercial Registration,Ministry of Commerce,2000,true,279
desertification_control_consulting_activity_medium,ترخيص بلدية,Municipality License,Municipality,5000,true,280
