model_code,assumption_code,value
financial_banking_banking_activity_small_model,annual_depreciation_rate,10
financial_banking_banking_activity_small_model,working_capital_days,30
financial_banking_banking_activity_small_model,discount_rate,10
financial_banking_banking_activity_small_model,loan_ratio,50
financial_banking_banking_activity_small_model,interest_rate,8
financial_banking_banking_activity_small_model,loan_term_years,5
financial_banking_banking_activity_medium_model,rent_monthly,15000
financial_banking_banking_activity_medium_model,salaries_monthly,45000
financial_banking_banking_activity_medium_model,marketing_monthly,6000
financial_banking_banking_activity_medium_model,utilities_monthly,3000
financial_banking_banking_activity_medium_model,insurance_monthly,2000
financial_banking_banking_activity_medium_model,revenue_growth_rate,5
financial_banking_banking_activity_medium_model,cogs_ratio,35
financial_banking_banking_activity_medium_model,vat_rate,15
financial_banking_banking_activity_medium_model,corporate_tax_rate,20
financial_banking_banking_activity_medium_model,annual_depreciation_rate,10
financial_banking_banking_activity_medium_model,working_capital_days,30
financial_banking_banking_activity_medium_model,discount_rate,10
financial_banking_banking_activity_medium_model,loan_ratio,50
financial_banking_banking_activity_medium_model,interest_rate,8
financial_banking_banking_activity_medium_model,loan_term_years,5
financial_banking_banking_activity_large_model,rent_monthly,40000
financial_banking_banking_activity_large_model,salaries_monthly,120000
financial_banking_banking_activity_large_model,marketing_monthly,18000
financial_banking_banking_activity_large_model,utilities_monthly,8000
financial_banking_banking_activity_large_model,insurance_monthly,5000
financial_banking_banking_activity_large_model,revenue_growth_rate,5
financial_banking_banking_activity_large_model,cogs_ratio,35
financial_banking_banking_activity_large_model,vat_rate,15
financial_banking_banking_activity_large_model,corporate_tax_rate,20
financial_banking_banking_activity_large_model,annual_depreciation_rate,10
financial_banking_banking_activity_large_model,working_capital_days,30
financial_banking_banking_activity_large_model,discount_rate,10
financial_banking_banking_activity_large_model,loan_ratio,50
financial_banking_banking_activity_large_model,interest_rate,8
financial_banking_banking_activity_large_model,loan_term_years,5
financial_banking_insurance_activity_small_model,rent_monthly,5000
financial_banking_insurance_activity_small_model,salaries_monthly,15000
financial_banking_insurance_activity_small_model,marketing_monthly,2000
financial_banking_insurance_activity_small_model,utilities_monthly,1000
financial_banking_insurance_activity_small_model,insurance_monthly,800
financial_banking_insurance_activity_small_model,revenue_growth_rate,5
financial_banking_insurance_activity_small_model,cogs_ratio,35
financial_banking_insurance_activity_small_model,vat_rate,15
financial_banking_insurance_activity_small_model,corporate_tax_rate,20
financial_banking_insurance_activity_small_model,annual_depreciation_rate,10
financial_banking_insurance_activity_small_model,working_capital_days,30
financial_banking_insurance_activity_small_model,discount_rate,10
financial_banking_insurance_activity_small_model,loan_ratio,50
financial_banking_insurance_activity_small_model,interest_rate,8
financial_banking_insurance_activity_small_model,loan_term_years,5
financial_banking_insurance_activity_medium_model,rent_monthly,15000
financial_banking_insurance_activity_medium_model,salaries_monthly,45000
financial_banking_insurance_activity_medium_model,marketing_monthly,6000
financial_banking_insurance_activity_medium_model,utilities_monthly,3000
financial_banking_insurance_activity_medium_model,insurance_monthly,2000
financial_banking_insurance_activity_medium_model,revenue_growth_rate,5
financial_banking_insurance_activity_medium_model,cogs_ratio,35
financial_banking_insurance_activity_medium_model,vat_rate,15
financial_banking_insurance_activity_medium_model,corporate_tax_rate,20
financial_banking_insurance_activity_medium_model,annual_depreciation_rate,10
financial_banking_insurance_activity_medium_model,working_capital_days,30
financial_banking_insurance_activity_medium_model,discount_rate,10
financial_banking_insurance_activity_medium_model,loan_ratio,50
financial_banking_insurance_activity_medium_model,interest_rate,8
financial_banking_insurance_activity_medium_model,loan_term_years,5
financial_banking_insurance_activity_large_model,rent_monthly,40000
financial_banking_insurance_activity_large_model,salaries_monthly,120000
financial_banking_insurance_activity_large_model,marketing_monthly,18000
financial_banking_insurance_activity_large_model,utilities_monthly,8000
financial_banking_insurance_activity_large_model,insurance_monthly,5000
financial_banking_insurance_activity_large_model,revenue_growth_rate,5
financial_banking_insurance_activity_large_model,cogs_ratio,35
financial_banking_insurance_activity_large_model,vat_rate,15
financial_banking_insurance_activity_large_model,corporate_tax_rate,20
financial_banking_insurance_activity_large_model,annual_depreciation_rate,10
financial_banking_insurance_activity_large_model,working_capital_days,30
financial_banking_insurance_activity_large_model,discount_rate,10
financial_banking_insurance_activity_large_model,loan_ratio,50
financial_banking_insurance_activity_large_model,interest_rate,8
financial_banking_insurance_activity_large_model,loan_term_years,5
financial_banking_fintech_activity_small_model,rent_monthly,5000
financial_banking_fintech_activity_small_model,salaries_monthly,15000
financial_banking_fintech_activity_small_model,marketing_monthly,2000
financial_banking_fintech_activity_small_model,utilities_monthly,1000
financial_banking_fintech_activity_small_model,insurance_monthly,800
financial_banking_fintech_activity_small_model,revenue_growth_rate,5
financial_banking_fintech_activity_small_model,cogs_ratio,35
financial_banking_fintech_activity_small_model,vat_rate,15
financial_banking_fintech_activity_small_model,corporate_tax_rate,20
financial_banking_fintech_activity_small_model,annual_depreciation_rate,10
financial_banking_fintech_activity_small_model,working_capital_days,30
financial_banking_fintech_activity_small_model,discount_rate,10
financial_banking_fintech_activity_small_model,loan_ratio,50
financial_banking_fintech_activity_small_model,interest_rate,8
financial_banking_fintech_activity_small_model,loan_term_years,5
financial_banking_fintech_activity_medium_model,rent_monthly,15000
financial_banking_fintech_activity_medium_model,salaries_monthly,45000
financial_banking_fintech_activity_medium_model,marketing_monthly,6000
financial_banking_fintech_activity_medium_model,utilities_monthly,3000
financial_banking_fintech_activity_medium_model,insurance_monthly,2000
financial_banking_fintech_activity_medium_model,revenue_growth_rate,5
financial_banking_fintech_activity_medium_model,cogs_ratio,35
financial_banking_fintech_activity_medium_model,vat_rate,15
financial_banking_fintech_activity_medium_model,corporate_tax_rate,20
financial_banking_fintech_activity_medium_model,annual_depreciation_rate,10
financial_banking_fintech_activity_medium_model,working_capital_days,30
financial_banking_fintech_activity_medium_model,discount_rate,10
financial_banking_fintech_activity_medium_model,loan_ratio,50
financial_banking_fintech_activity_medium_model,interest_rate,8
financial_banking_fintech_activity_medium_model,loan_term_years,5
financial_banking_fintech_activity_large_model,rent_monthly,40000
financial_banking_fintech_activity_large_model,salaries_monthly,120000
financial_banking_fintech_activity_large_model,marketing_monthly,18000
financial_banking_fintech_activity_large_model,utilities_monthly,8000
financial_banking_fintech_activity_large_model,insurance_monthly,5000
financial_banking_fintech_activity_large_model,revenue_growth_rate,5
financial_banking_fintech_activity_large_model,cogs_ratio,35
financial_banking_fintech_activity_large_model,vat_rate,15
financial_banking_fintech_activity_large_model,corporate_tax_rate,20
financial_banking_fintech_activity_large_model,annual_depreciation_rate,10
financial_banking_fintech_activity_large_model,working_capital_days,30
financial_banking_fintech_activity_large_model,discount_rate,10
financial_banking_fintech_activity_large_model,loan_ratio,50
financial_banking_fintech_activity_large_model,interest_rate,8
financial_banking_fintech_activity_large_model,loan_term_years,5
financial_banking_investment_activity_small_model,rent_monthly,5000
financial_banking_investment_activity_small_model,salaries_monthly,15000
financial_banking_investment_activity_small_model,marketing_monthly,2000
financial_banking_investment_activity_small_model,utilities_monthly,1000
financial_banking_investment_activity_small_model,insurance_monthly,800
financial_banking_investment_activity_small_model,revenue_growth_rate,5
financial_banking_investment_activity_small_model,cogs_ratio,35
financial_banking_investment_activity_small_model,vat_rate,15
financial_banking_investment_activity_small_model,corporate_tax_rate,20
financial_banking_investment_activity_small_model,annual_depreciation_rate,10
financial_banking_investment_activity_small_model,working_capital_days,30
financial_banking_investment_activity_small_model,discount_rate,10
financial_banking_investment_activity_small_model,loan_ratio,50
financial_banking_investment_activity_small_model,interest_rate,8
financial_banking_investment_activity_small_model,loan_term_years,5
financial_banking_investment_activity_medium_model,rent_monthly,15000
financial_banking_investment_activity_medium_model,salaries_monthly,45000
financial_banking_investment_activity_medium_model,marketing_monthly,6000
financial_banking_investment_activity_medium_model,utilities_monthly,3000
financial_banking_investment_activity_medium_model,insurance_monthly,2000
financial_banking_investment_activity_medium_model,revenue_growth_rate,5
financial_banking_investment_activity_medium_model,cogs_ratio,35
financial_banking_investment_activity_medium_model,vat_rate,15
financial_banking_investment_activity_medium_model,corporate_tax_rate,20
financial_banking_investment_activity_medium_model,annual_depreciation_rate,10
financial_banking_investment_activity_medium_model,working_capital_days,30
financial_banking_investment_activity_medium_model,discount_rate,10
financial_banking_investment_activity_medium_model,loan_ratio,50
financial_banking_investment_activity_medium_model,interest_rate,8
financial_banking_investment_activity_medium_model,loan_term_years,5
financial_banking_investment_activity_large_model,rent_monthly,40000
financial_banking_investment_activity_large_model,salaries_monthly,120000
financial_banking_investment_activity_large_model,marketing_monthly,18000
financial_banking_investment_activity_large_model,utilities_monthly,8000
financial_banking_investment_activity_large_model,insurance_monthly,5000
financial_banking_investment_activity_large_model,revenue_growth_rate,5
financial_banking_investment_activity_large_model,cogs_ratio,35
financial_banking_investment_activity_large_model,vat_rate,15
financial_banking_investment_activity_large_model,corporate_tax_rate,20
financial_banking_investment_activity_large_model,annual_depreciation_rate,10
financial_banking_investment_activity_large_model,working_capital_days,30
financial_banking_investment_activity_large_model,discount_rate,10
financial_banking_investment_activity_large_model,loan_ratio,50
financial_banking_investment_activity_large_model,interest_rate,8
financial_banking_investment_activity_large_model,loan_term_years,5
insurance_banking_activity_small_model,rent_monthly,5000
insurance_banking_activity_small_model,salaries_monthly,15000
insurance_banking_activity_small_model,marketing_monthly,2000
insurance_banking_activity_small_model,utilities_monthly,1000
insurance_banking_activity_small_model,insurance_monthly,800
insurance_banking_activity_small_model,revenue_growth_rate,5
insurance_banking_activity_small_model,cogs_ratio,35
insurance_banking_activity_small_model,vat_rate,15
insurance_banking_activity_small_model,corporate_tax_rate,20
insurance_banking_activity_small_model,annual_depreciation_rate,10
insurance_banking_activity_small_model,working_capital_days,30
insurance_banking_activity_small_model,discount_rate,10
insurance_banking_activity_small_model,loan_ratio,50
insurance_banking_activity_small_model,interest_rate,8
insurance_banking_activity_small_model,loan_term_years,5
insurance_banking_activity_medium_model,rent_monthly,15000
insurance_banking_activity_medium_model,salaries_monthly,45000
insurance_banking_activity_medium_model,marketing_monthly,6000
insurance_banking_activity_medium_model,utilities_monthly,3000
insurance_banking_activity_medium_model,insurance_monthly,2000
insurance_banking_activity_medium_model,revenue_growth_rate,5
insurance_banking_activity_medium_model,cogs_ratio,35
insurance_banking_activity_medium_model,vat_rate,15
insurance_banking_activity_medium_model,corporate_tax_rate,20
insurance_banking_activity_medium_model,annual_depreciation_rate,10
insurance_banking_activity_medium_model,working_capital_days,30
insurance_banking_activity_medium_model,discount_rate,10
insurance_banking_activity_medium_model,loan_ratio,50
insurance_banking_activity_medium_model,interest_rate,8
insurance_banking_activity_medium_model,loan_term_years,5
insurance_banking_activity_large_model,rent_monthly,40000
insurance_banking_activity_large_model,salaries_monthly,120000
insurance_banking_activity_large_model,marketing_monthly,18000
insurance_banking_activity_large_model,utilities_monthly,8000
insurance_banking_activity_large_model,insurance_monthly,5000
insurance_banking_activity_large_model,revenue_growth_rate,5
insurance_banking_activity_large_model,cogs_ratio,35
insurance_banking_activity_large_model,vat_rate,15
insurance_banking_activity_large_model,corporate_tax_rate,20
insurance_banking_activity_large_model,annual_depreciation_rate,10
insurance_banking_activity_large_model,working_capital_days,30
insurance_banking_activity_large_model,discount_rate,10
insurance_banking_activity_large_model,loan_ratio,50
insurance_banking_activity_large_model,interest_rate,8
insurance_banking_activity_large_model,loan_term_years,5
insurance_insurance_activity_small_model,rent_monthly,5000
insurance_insurance_activity_small_model,salaries_monthly,15000
insurance_insurance_activity_small_model,marketing_monthly,2000
insurance_insurance_activity_small_model,utilities_monthly,1000
insurance_insurance_activity_small_model,insurance_monthly,800
insurance_insurance_activity_small_model,revenue_growth_rate,5
insurance_insurance_activity_small_model,cogs_ratio,35
insurance_insurance_activity_small_model,vat_rate,15
insurance_insurance_activity_small_model,corporate_tax_rate,20
insurance_insurance_activity_small_model,annual_depreciation_rate,10
insurance_insurance_activity_small_model,working_capital_days,30
insurance_insurance_activity_small_model,discount_rate,10
insurance_insurance_activity_small_model,loan_ratio,50
insurance_insurance_activity_small_model,interest_rate,8
insurance_insurance_activity_small_model,loan_term_years,5
insurance_insurance_activity_medium_model,rent_monthly,15000
insurance_insurance_activity_medium_model,salaries_monthly,45000
insurance_insurance_activity_medium_model,marketing_monthly,6000
insurance_insurance_activity_medium_model,utilities_monthly,3000
insurance_insurance_activity_medium_model,insurance_monthly,2000
insurance_insurance_activity_medium_model,revenue_growth_rate,5
insurance_insurance_activity_medium_model,cogs_ratio,35
insurance_insurance_activity_medium_model,vat_rate,15
insurance_insurance_activity_medium_model,corporate_tax_rate,20
insurance_insurance_activity_medium_model,annual_depreciation_rate,10
insurance_insurance_activity_medium_model,working_capital_days,30
insurance_insurance_activity_medium_model,discount_rate,10
insurance_insurance_activity_medium_model,loan_ratio,50
insurance_insurance_activity_medium_model,interest_rate,8
insurance_insurance_activity_medium_model,loan_term_years,5
insurance_insurance_activity_large_model,rent_monthly,40000
insurance_insurance_activity_large_model,salaries_monthly,120000
insurance_insurance_activity_large_model,marketing_monthly,18000
insurance_insurance_activity_large_model,utilities_monthly,8000
insurance_insurance_activity_large_model,insurance_monthly,5000
insurance_insurance_activity_large_model,revenue_growth_rate,5
insurance_insurance_activity_large_model,cogs_ratio,35
insurance_insurance_activity_large_model,vat_rate,15
insurance_insurance_activity_large_model,corporate_tax_rate,20
insurance_insurance_activity_large_model,annual_depreciation_rate,10
insurance_insurance_activity_large_model,working_capital_days,30
insurance_insurance_activity_large_model,discount_rate,10
insurance_insurance_activity_large_model,loan_ratio,50
insurance_insurance_activity_large_model,interest_rate,8
insurance_insurance_activity_large_model,loan_term_years,5
insurance_fintech_activity_small_model,rent_monthly,5000
insurance_fintech_activity_small_model,salaries_monthly,15000
insurance_fintech_activity_small_model,marketing_monthly,2000
insurance_fintech_activity_small_model,utilities_monthly,1000
insurance_fintech_activity_small_model,insurance_monthly,800
insurance_fintech_activity_small_model,revenue_growth_rate,5
insurance_fintech_activity_small_model,cogs_ratio,35
insurance_fintech_activity_small_model,vat_rate,15
insurance_fintech_activity_small_model,corporate_tax_rate,20
insurance_fintech_activity_small_model,annual_depreciation_rate,10
insurance_fintech_activity_small_model,working_capital_days,30
insurance_fintech_activity_small_model,discount_rate,10
insurance_fintech_activity_small_model,loan_ratio,50
insurance_fintech_activity_small_model,interest_rate,8
insurance_fintech_activity_small_model,loan_term_years,5
insurance_fintech_activity_medium_model,rent_monthly,15000
insurance_fintech_activity_medium_model,salaries_monthly,45000
insurance_fintech_activity_medium_model,marketing_monthly,6000
insurance_fintech_activity_medium_model,utilities_monthly,3000
insurance_fintech_activity_medium_model,insurance_monthly,2000
insurance_fintech_activity_medium_model,revenue_growth_rate,5
insurance_fintech_activity_medium_model,cogs_ratio,35
insurance_fintech_activity_medium_model,vat_rate,15
insurance_fintech_activity_medium_model,corporate_tax_rate,20
insurance_fintech_activity_medium_model,annual_depreciation_rate,10
insurance_fintech_activity_medium_model,working_capital_days,30
insurance_fintech_activity_medium_model,discount_rate,10
insurance_fintech_activity_medium_model,loan_ratio,50
insurance_fintech_activity_medium_model,interest_rate,8
insurance_fintech_activity_medium_model,loan_term_years,5
insurance_fintech_activity_large_model,rent_monthly,40000
insurance_fintech_activity_large_model,salaries_monthly,120000
insurance_fintech_activity_large_model,marketing_monthly,18000
insurance_fintech_activity_large_model,utilities_monthly,8000
insurance_fintech_activity_large_model,insurance_monthly,5000
insurance_fintech_activity_large_model,revenue_growth_rate,5
insurance_fintech_activity_large_model,cogs_ratio,35
insurance_fintech_activity_large_model,vat_rate,15
insurance_fintech_activity_large_model,corporate_tax_rate,20
insurance_fintech_activity_large_model,annual_depreciation_rate,10
insurance_fintech_activity_large_model,working_capital_days,30
insurance_fintech_activity_large_model,discount_rate,10
insurance_fintech_activity_large_model,loan_ratio,50
insurance_fintech_activity_large_model,interest_rate,8
insurance_fintech_activity_large_model,loan_term_years,5
insurance_investment_activity_small_model,rent_monthly,5000
insurance_investment_activity_small_model,salaries_monthly,15000
insurance_investment_activity_small_model,marketing_monthly,2000
insurance_investment_activity_small_model,utilities_monthly,1000
insurance_investment_activity_small_model,insurance_monthly,800
insurance_investment_activity_small_model,revenue_growth_rate,5
insurance_investment_activity_small_model,cogs_ratio,35
insurance_investment_activity_small_model,vat_rate,15
insurance_investment_activity_small_model,corporate_tax_rate,20
insurance_investment_activity_small_model,annual_depreciation_rate,10
insurance_investment_activity_small_model,working_capital_days,30
insurance_investment_activity_small_model,discount_rate,10
insurance_investment_activity_small_model,loan_ratio,50
insurance_investment_activity_small_model,interest_rate,8
insurance_investment_activity_small_model,loan_term_years,5
insurance_investment_activity_medium_model,rent_monthly,15000
insurance_investment_activity_medium_model,salaries_monthly,45000
insurance_investment_activity_medium_model,marketing_monthly,6000
insurance_investment_activity_medium_model,utilities_monthly,3000
insurance_investment_activity_medium_model,insurance_monthly,2000
insurance_investment_activity_medium_model,revenue_growth_rate,5
insurance_investment_activity_medium_model,cogs_ratio,35
insurance_investment_activity_medium_model,vat_rate,15
insurance_investment_activity_medium_model,corporate_tax_rate,20
insurance_investment_activity_medium_model,annual_depreciation_rate,10
insurance_investment_activity_medium_model,working_capital_days,30
insurance_investment_activity_medium_model,discount_rate,10
insurance_investment_activity_medium_model,loan_ratio,50
insurance_investment_activity_medium_model,interest_rate,8
insurance_investment_activity_medium_model,loan_term_years,5
insurance_investment_activity_large_model,rent_monthly,40000
insurance_investment_activity_large_model,salaries_monthly,120000
insurance_investment_activity_large_model,marketing_monthly,18000
insurance_investment_activity_large_model,utilities_monthly,8000
insurance_investment_activity_large_model,insurance_monthly,5000
insurance_investment_activity_large_model,revenue_growth_rate,5
insurance_investment_activity_large_model,cogs_ratio,35
insurance_investment_activity_large_model,vat_rate,15
insurance_investment_activity_large_model,corporate_tax_rate,20
insurance_investment_activity_large_model,annual_depreciation_rate,10
insurance_investment_activity_large_model,working_capital_days,30
insurance_investment_activity_large_model,discount_rate,10
insurance_investment_activity_large_model,loan_ratio,50
insurance_investment_activity_large_model,interest_rate,8
insurance_investment_activity_large_model,loan_term_years,5
awqaf_consulting_activity_small_model,rent_monthly,5000
awqaf_consulting_activity_small_model,salaries_monthly,15000
awqaf_consulting_activity_small_model,marketing_monthly,2000
awqaf_consulting_activity_small_model,utilities_monthly,1000
awqaf_consulting_activity_small_model,insurance_monthly,800
awqaf_consulting_activity_small_model,revenue_growth_rate,5
awqaf_consulting_activity_small_model,cogs_ratio,35
awqaf_consulting_activity_small_model,vat_rate,15
awqaf_consulting_activity_small_model,corporate_tax_rate,20
awqaf_consulting_activity_small_model,annual_depreciation_rate,10
awqaf_consulting_activity_small_model,working_capital_days,30
awqaf_consulting_activity_small_model,discount_rate,10
awqaf_consulting_activity_small_model,loan_ratio,50
awqaf_consulting_activity_small_model,interest_rate,8
awqaf_consulting_activity_small_model,loan_term_years,5
awqaf_consulting_activity_medium_model,rent_monthly,15000
awqaf_consulting_activity_medium_model,salaries_monthly,45000
awqaf_consulting_activity_medium_model,marketing_monthly,6000
awqaf_consulting_activity_medium_model,utilities_monthly,3000
awqaf_consulting_activity_medium_model,insurance_monthly,2000
awqaf_consulting_activity_medium_model,revenue_growth_rate,5
awqaf_consulting_activity_medium_model,cogs_ratio,35
awqaf_consulting_activity_medium_model,vat_rate,15
awqaf_consulting_activity_medium_model,corporate_tax_rate,20
awqaf_consulting_activity_medium_model,annual_depreciation_rate,10
awqaf_consulting_activity_medium_model,working_capital_days,30
awqaf_consulting_activity_medium_model,discount_rate,10
awqaf_consulting_activity_medium_model,loan_ratio,50
awqaf_consulting_activity_medium_model,interest_rate,8
awqaf_consulting_activity_medium_model,loan_term_years,5
awqaf_consulting_activity_large_model,rent_monthly,40000
awqaf_consulting_activity_large_model,salaries_monthly,120000
awqaf_consulting_activity_large_model,marketing_monthly,18000
awqaf_consulting_activity_large_model,utilities_monthly,8000
awqaf_consulting_activity_large_model,insurance_monthly,5000
awqaf_consulting_activity_large_model,revenue_growth_rate,5
awqaf_consulting_activity_large_model,cogs_ratio,35
awqaf_consulting_activity_large_model,vat_rate,15
awqaf_consulting_activity_large_model,corporate_tax_rate,20
awqaf_consulting_activity_large_model,annual_depreciation_rate,10
awqaf_consulting_activity_large_model,working_capital_days,30
awqaf_consulting_activity_large_model,discount_rate,10
awqaf_consulting_activity_large_model,loan_ratio,50
awqaf_consulting_activity_large_model,interest_rate,8
awqaf_consulting_activity_large_model,loan_term_years,5
awqaf_maintenance_activity_small_model,rent_monthly,5000
awqaf_maintenance_activity_small_model,salaries_monthly,15000
awqaf_maintenance_activity_small_model,marketing_monthly,2000
awqaf_maintenance_activity_small_model,utilities_monthly,1000
awqaf_maintenance_activity_small_model,insurance_monthly,800
awqaf_maintenance_activity_small_model,revenue_growth_rate,5
awqaf_maintenance_activity_small_model,cogs_ratio,35
awqaf_maintenance_activity_small_model,vat_rate,15
awqaf_maintenance_activity_small_model,corporate_tax_rate,20
awqaf_maintenance_activity_small_model,annual_depreciation_rate,10
awqaf_maintenance_activity_small_model,working_capital_days,30
awqaf_maintenance_activity_small_model,discount_rate,10
awqaf_maintenance_activity_small_model,loan_ratio,50
awqaf_maintenance_activity_small_model,interest_rate,8
awqaf_maintenance_activity_small_model,loan_term_years,5
awqaf_maintenance_activity_medium_model,rent_monthly,15000
awqaf_maintenance_activity_medium_model,salaries_monthly,45000
awqaf_maintenance_activity_medium_model,marketing_monthly,6000
awqaf_maintenance_activity_medium_model,utilities_monthly,3000
awqaf_maintenance_activity_medium_model,insurance_monthly,2000
awqaf_maintenance_activity_medium_model,revenue_growth_rate,5
awqaf_maintenance_activity_medium_model,cogs_ratio,35
awqaf_maintenance_activity_medium_model,vat_rate,15
awqaf_maintenance_activity_medium_model,corporate_tax_rate,20
awqaf_maintenance_activity_medium_model,annual_depreciation_rate,10
awqaf_maintenance_activity_medium_model,working_capital_days,30
awqaf_maintenance_activity_medium_model,discount_rate,10
awqaf_maintenance_activity_medium_model,loan_ratio,50
awqaf_maintenance_activity_medium_model,interest_rate,8
awqaf_maintenance_activity_medium_model,loan_term_years,5
awqaf_maintenance_activity_large_model,rent_monthly,40000
awqaf_maintenance_activity_large_model,salaries_monthly,120000
awqaf_maintenance_activity_large_model,marketing_monthly,18000
awqaf_maintenance_activity_large_model,utilities_monthly,8000
awqaf_maintenance_activity_large_model,insurance_monthly,5000
awqaf_maintenance_activity_large_model,revenue_growth_rate,5
awqaf_maintenance_activity_large_model,cogs_ratio,35
awqaf_maintenance_activity_large_model,vat_rate,15
awqaf_maintenance_activity_large_model,corporate_tax_rate,20
awqaf_maintenance_activity_large_model,annual_depreciation_rate,10
awqaf_maintenance_activity_large_model,working_capital_days,30
awqaf_maintenance_activity_large_model,discount_rate,10
awqaf_maintenance_activity_large_model,loan_ratio,50
awqaf_maintenance_activity_large_model,interest_rate,8
awqaf_maintenance_activity_large_model,loan_term_years,5
awqaf_cleaning_activity_small_model,rent_monthly,5000
awqaf_cleaning_activity_small_model,salaries_monthly,15000
awqaf_cleaning_activity_small_model,marketing_monthly,2000
awqaf_cleaning_activity_small_model,utilities_monthly,1000
awqaf_cleaning_activity_small_model,insurance_monthly,800
awqaf_cleaning_activity_small_model,revenue_growth_rate,5
awqaf_cleaning_activity_small_model,cogs_ratio,35
awqaf_cleaning_activity_small_model,vat_rate,15
awqaf_cleaning_activity_small_model,corporate_tax_rate,20
awqaf_cleaning_activity_small_model,annual_depreciation_rate,10
awqaf_cleaning_activity_small_model,working_capital_days,30
awqaf_cleaning_activity_small_model,discount_rate,10
awqaf_cleaning_activity_small_model,loan_ratio,50
awqaf_cleaning_activity_small_model,interest_rate,8
awqaf_cleaning_activity_small_model,loan_term_years,5
awqaf_cleaning_activity_medium_model,rent_monthly,15000
awqaf_cleaning_activity_medium_model,salaries_monthly,45000
awqaf_cleaning_activity_medium_model,marketing_monthly,6000
awqaf_cleaning_activity_medium_model,utilities_monthly,3000
awqaf_cleaning_activity_medium_model,insurance_monthly,2000
awqaf_cleaning_activity_medium_model,revenue_growth_rate,5
awqaf_cleaning_activity_medium_model,cogs_ratio,35
awqaf_cleaning_activity_medium_model,vat_rate,15
awqaf_cleaning_activity_medium_model,corporate_tax_rate,20
awqaf_cleaning_activity_medium_model,annual_depreciation_rate,10
awqaf_cleaning_activity_medium_model,working_capital_days,30
awqaf_cleaning_activity_medium_model,discount_rate,10
awqaf_cleaning_activity_medium_model,loan_ratio,50
awqaf_cleaning_activity_medium_model,interest_rate,8
awqaf_cleaning_activity_medium_model,loan_term_years,5
awqaf_cleaning_activity_large_model,rent_monthly,40000
awqaf_cleaning_activity_large_model,salaries_monthly,120000
awqaf_cleaning_activity_large_model,marketing_monthly,18000
awqaf_cleaning_activity_large_model,utilities_monthly,8000
awqaf_cleaning_activity_large_model,insurance_monthly,5000
awqaf_cleaning_activity_large_model,revenue_growth_rate,5
awqaf_cleaning_activity_large_model,cogs_ratio,35
awqaf_cleaning_activity_large_model,vat_rate,15
awqaf_cleaning_activity_large_model,corporate_tax_rate,20
awqaf_cleaning_activity_large_model,annual_depreciation_rate,10
awqaf_cleaning_activity_large_model,working_capital_days,30
awqaf_cleaning_activity_large_model,discount_rate,10
awqaf_cleaning_activity_large_model,loan_ratio,50
awqaf_cleaning_activity_large_model,interest_rate,8
awqaf_cleaning_activity_large_model,loan_term_years,5
awqaf_security_activity_small_model,rent_monthly,5000
awqaf_security_activity_small_model,salaries_monthly,15000
