code,name_ar,name_en,region,population,avg_household_income,purchasing_power_index
QA-03-001,أم صلال,Umm Salal,بلدية أم صلال,,,
QA-03-002,الخريطيات,Al Kharaitiyat,بلدية أم صلال,,,
QA-04-001,الخور,Al Khor,بلدية الخور والذخيرة,,,
QA-04-002,الذخيرة,Al Thakhira,بلدية الخور والذخيرة,,,
QA-05-001,مسيعيد,Mesaieed,بلدية الوكرة,,,
QA-05-002,الوكرة,Al Wakrah,بلدية الوكرة,,,
QA-06-001,لوسيل,Lusail,بلدية الضعاين,,,
QA-06-002,الضعاين,Al Daayen,بلدية الضعاين,,,
QA-07-001,الشمال,Al Shamal,بلدية الشمال,,,
QA-07-002,أبو الظلوف,Abu Dhalouf,بلدية الشمال,,,
QA-08-001,الشحانية,Al Shahaniya,بلدية الشحانية,,,
QA-08-002,أم باب,Umm Bab,بلدية الشحانية,,,
BH-01-001,المنامة,Manama,محافظة العاصمة,,,
BH-01-002,جفير,Juffair,محافظة العاصمة,,,
BH-02-001,المحرق,Muharraq,محافظة المحرق,,,
BH-02-002,الحد,Al Hidd,محافظة المحرق,,,
BH-02-003,عراد,Arad,محافظة المحرق,,,
BH-03-001,البديع,Al Budaiya,المحافظة الشمالية,,,
BH-03-002,جزر أمواج,Amwaj Islands,المحافظة الشمالية,,,
BH-03-003,مدينة حمد,Hamad Town,المحافظة الشمالية,,,
BH-04-001,رفاع,Riffa,المحافظة الجنوبية,,,
BH-04-002,عيسى,Isa Town,المحافظة الجنوبية,,,
BH-04-003,الزَّلاق,Zallaq,المحافظة الجنوبية,,,
OM-01-001,مسقط,Muscat,محافظة مسقط,,,
OM-01-002,بوشر,Bawshar,محافظة مسقط,,,
OM-01-003,السيب,Al Seeb,محافظة مسقط,,,
OM-01-004,قريات,Qurayyat,محافظة مسقط,,,
OM-01-005,المعبيلة,Maabilah,محافظة مسقط,,,
OM-02-001,صحار,Sohar,محافظة الباطنة,,,
OM-02-002,عبري,Ibri,محافظة الباطنة,,,
OM-02-003,الخابورة,Al Khabourah,محافظة الباطنة,,,
OM-02-004,السويق,Al Suwaiq,محافظة الباطنة,,,
OM-02-005,شناص,Shinas,محافظة الباطنة,,,
OM-02-006,لوى,Liwa,محافظة الباطنة,,,
OM-02-007,صحم,Saham,محافظة الباطنة,,,
OM-03-001,نزوى,Nizwa,محافظة الداخلية,,,
OM-03-002,سمائل,Samail,محافظة الداخلية,,,
OM-03-003,بهلا,Bahla,محافظة الداخلية,,,
OM-03-004,الحمراء,Al Hamra,محافظة الداخلية,,,
OM-04-001,عبري,Ibri,محافظة الظاهرة,,,
OM-04-002,ينقل,Yanqul,محافظة الظاهرة,,,
OM-04-003,ضنك,Dank,محافظة الظاهرة,,,
OM-05-001,البريمي,Al Buraimi,محافظة البريمي,,,
OM-05-002,محضة,Mahdah,محافظة البريمي,,,
OM-06-001,هيما,Haima,محافظة الوسطى,,,
OM-06-002,الدقم,Duqm,محافظة الوسطى,,,
OM-06-003,محوت,Mahoot,محافظة الوسطى,,,
OM-07-001,صور,Sur,محافظة الشرقية,,,
OM-07-002,إبراء,Ibra,محافظة الشرقية,,,
OM-07-003,المصنعة,Al Masnaah,محافظة الشرقية,,,
OM-07-004,بدية,Bidiya,محافظة الشرقية,,,
OM-07-005,جعلان,Jalan,محافظة الشرقية,,,
OM-08-001,صلالة,Salalah,محافظة ظفار,,,
OM-08-002,مرباط,Mirbat,محافظة ظفار,,,
OM-08-003,ثمريت,Thumrait,محافظة ظفار,,,
OM-08-004,سدح,Sadah,محافظة ظفار,,,
OM-09-001,خصب,Khasab,محافظة مسندم,,,
OM-09-002,بخا,Bukha,محافظة مسندم,,,
OM-09-003,دبا,Dibba,محافظة مسندم,,,
OM-10-001,صحار,Sohar,محافظة شمال الباطنة,,,
OM-10-002,شناص,Shinas,محافظة شمال الباطنة,,,
OM-10-003,لوى,Liwa,محافظة شمال الباطنة,,,
OM-10-004,صحم,Saham,محافظة شمال الباطنة,,,
OM-11-001,الرستاق,Rustaq,محافظة جنوب الباطنة,,,
OM-11-002,العوابي,Al Awabi,محافظة جنوب الباطنة,,,
OM-11-003,وادي المعاول,Wadi Al Maawil,محافظة جنوب الباطنة,,,
OM-12-001,إبراء,Ibra,محافظة شمال الشرقية,,,
OM-12-002,المصنعة,Al Masnaah,محافظة شمال الشرقية,,,
OM-12-003,بدية,Bidiya,محافظة شمال الشرقية,,,
OM-13-001,صور,Sur,محافظة جنوب الشرقية,,,
OM-13-002,جعلان بني بوعلي,Jalan Bani Bu Ali,محافظة جنوب الشرقية,,,
OM-14-001,هيما,Haima,محافظة الوسطى,,,
EG-01-001,القاهرة,Cairo,القاهرة,,,
EG-01-002,القاهرة الجديدة,New Cairo,القاهرة,,,
EG-01-003,شبرا,Shubra,القاهرة,,,
EG-01-004,مدينة نصر,Nasr City,القاهرة,,,
EG-01-005,المعادي,Maadi,القاهرة,,,
EG-01-006,الزمالك,Zamalek,القاهرة,,,
EG-01-007,مصر الجديدة,Heliopolis,القاهرة,,,
EG-02-001,الإسكندرية,Alexandria,الإسكندرية,,,
EG-02-002,برج العرب,Borg El Arab,الإسكندرية,,,
EG-02-003,المنتزه,Montaza,الإسكندرية,,,
EG-03-001,الجيزة,Giza,الجيزة,,,
EG-03-002,6 أكتوبر,6th of October,الجيزة,,,
EG-03-003,الشيخ زايد,Sheikh Zayed,الجيزة,,,
EG-03-004,الحوامدية,Hawamdiya,الجيزة,,,
EG-03-005,أوسيم,Awsim,الجيزة,,,
EG-04-001,بنها,Banha,القليوبية,,,
EG-04-002,الخانكة,Al Khanka,القليوبية,,,
EG-04-003,شبرا الخيمة,Shubra El Kheima,القليوبية,,,
EG-04-004,القناطر الخيرية,Qanater El Khayreya,القليوبية,,,
EG-05-001,شبين الكوم,Shebin El Kom,المنوفية,,,
EG-05-002,منوف,Menouf,المنوفية,,,
EG-05-003,الباجور,Al Bagour,المنوفية,,,
EG-05-004,قويسنا,Quesna,المنوفية,,,
EG-06-001,طنطا,Tanta,الغربية,,,
EG-06-002,المحلة الكبرى,El Mahalla,الغربية,,,
EG-06-003,كفر الزيات,Kafr El Zayat,الغربية,,,
EG-06-004,زفتى,Zifta,الغربية,,,
EG-06-005,سمنود,Samannoud,الغربية,,,
EG-07-001,المنصورة,Mansoura,الدقهلية,,,
EG-07-002,ميت غمر,Mit Ghamr,الدقهلية,,,
EG-07-003,طلخا,Talkha,الدقهلية,,,
EG-07-004,أجا,Aga,الدقهلية,,,
EG-07-005,منية النصر,Minyet El Nasr,الدقهلية,,,
EG-08-001,الزقازيق,Zagazig,الشرقية,,,
EG-08-002,العاشر من رمضان,10th of Ramadan,الشرقية,,,
EG-08-003,بلبيس,Belbeis,الشرقية,,,
EG-08-004,منيا القمح,Minya El Qamh,الشرقية,,,
EG-08-005,فاقوس,Faqous,الشرقية,,,
EG-09-001,كفر الشيخ,Kafr El Sheikh,كفر الشيخ,,,
EG-09-002,دسوق,Desouk,كفر الشيخ,,,
EG-09-003,فوة,Fouah,كفر الشيخ,,,
EG-09-004,البرلس,Baltim,كفر الشيخ,,,
EG-10-001,دمنهور,Damanhour,البحيرة,,,
EG-10-002,كفر الدوار,Kafr El Dawwar,البحيرة,,,
EG-10-003,رشيد,Rashid,البحيرة,,,
EG-10-004,إدكو,Edku,البحيرة,,,
EG-10-005,أبو حمص,Abu Hummus,البحيرة,,,
EG-11-001,دمياط,Damietta,دمياط,,,
EG-11-002,رأس البر,Ras El Bar,دمياط,,,
EG-11-003,فارسكور,Faraskour,دمياط,,,
EG-12-001,بورسعيد,Port Said,بورسعيد,,,
EG-12-002,بورفؤاد,Port Fouad,بورسعيد,,,
EG-13-001,الإسماعيلية,Ismailia,الإسماعيلية,,,
EG-13-002,فايد,Fayed,الإسماعيلية,,,
EG-13-003,القنطرة شرق,East Qantara,الإسماعيلية,,,
EG-14-001,السويس,Suez,السويس,,,
EG-14-002,الأربعين,Arbaeen,السويس,,,
EG-15-001,العريش,Arish,شمال سيناء,,,
EG-15-002,الشيخ زويد,Sheikh Zuweid,شمال سيناء,,,
EG-15-003,رفح,Rafah,شمال سيناء,,,
EG-16-001,شرم الشيخ,Sharm El Sheikh,جنوب سيناء,,,
EG-16-002,الغردقة,Hurghada,جنوب سيناء,,,
EG-16-003,دهب,Dahab,جنوب سيناء,,,
EG-16-004,طابا,Taba,جنوب سيناء,,,
EG-17-001,الغردقة,Hurghada,البحر الأحمر,,,
EG-17-002,سفاجا,Safaga,البحر الأحمر,,,
EG-17-003,القصير,Al Qusair,البحر الأحمر,,,
EG-17-004,مرسى علم,Marsa Alam,البحر الأحمر,,,
EG-18-001,الفيوم,Faiyum,الفيوم,,,
EG-18-002,سنورس,Senuris,الفيوم,,,
EG-18-003,إطسا,Ibsheway,الفيوم,,,
EG-19-001,بني سويف,Beni Suef,بني سويف,,,
EG-19-002,الواسطى,Al Wasta,بني سويف,,,
EG-19-003,ناصر,Nasser,بني سويف,,,
EG-20-001,المنيا,Minya,المنيا,,,
EG-20-002,ملوي,Mallawi,المنيا,,,
EG-20-003,سمالوط,Samalut,المنيا,,,
EG-20-004,العدوة,Adwa,المنيا,,,
EG-21-001,أسيوط,Assiut,أسيوط,,,
EG-21-002,ديروط,Dairut,أسيوط,,,
EG-21-003,منفلوط,Manfalut,أسيوط,,,
EG-21-004,القوصية,Al Qusiya,أسيوط,,,
EG-22-001,سوهاج,Sohag,سوهاج,,,
EG-22-002,أخميم,Akhmim,سوهاج,,,
EG-22-003,طهطا,Tahta,سوهاج,,,
EG-22-004,جرجا,Girga,سوهاج,,,
EG-23-001,قنا,Qena,قنا,,,
EG-23-002,نجع حمادي,Nag Hammadi,قنا,,,
EG-23-003,قوص,Qus,قنا,,,
EG-24-001,الأقصر,Luxor,الأقصر,,,
EG-24-002,إسنا,Esna,الأقصر,,,
EG-24-003,أرمنت,Armant,الأقصر,,,
EG-25-001,أسوان,Aswan,أسوان,,,
EG-25-002,إدفو,Edfu,أسوان,,,
EG-25-003,كوم أمبو,Kom Ombo,أسوان,,,
EG-25-004,أبو سمبل,Abu Simbel,أسوان,,,
EG-26-001,الخارجة,Kharga,الوادي الجديد,,,
EG-26-002,باريس,Paris,الوادي الجديد,,,
EG-26-003,الداخلة,Dakhla,الوادي الجديد,,,
EG-27-001,مرسى مطروح,Marsa Matrouh,مطروح,,,
EG-27-002,السلوم,Sallum,مطروح,,,
EG-27-003,سيوة,Siwa,مطروح,,,
JO-01-001,عمّان,Amman,محافظة العاصمة,,,
JO-01-002,الزرقاء,Zarqa,محافظة العاصمة,,,
JO-01-003,القويسمة,Al Quwaysimah,محافظة العاصمة,,,
JO-01-004,وادي السير,Wadi Al Seer,محافظة العاصمة,,,
JO-01-005,صويلح,Sweileh,محافظة العاصمة,,,
JO-02-001,الزرقاء,Zarqa,محافظة الزرقاء,,,
JO-02-002,الرصيفة,Russeifa,محافظة الزرقاء,,,
JO-02-003,الهاشمية,Al Hashemiyah,محافظة الزرقاء,,,
JO-03-001,إربد,Irbid,محافظة إربد,,,
JO-03-002,الرمثا,Ramtha,محافظة إربد,,,
JO-03-003,الحصن,Al Husn,محافظة إربد,,,
JO-03-004,بني كنانة,Bani Kinanah,محافظة إربد,,,
JO-04-001,المفرق,Mafraq,محافظة المفرق,,,
JO-04-002,الرويشد,Ruwaished,محافظة المفرق,,,
JO-05-001,عجلون,Ajloun,محافظة عجلون,,,
JO-05-002,كفرنجة,Kefrenka,محافظة عجلون,,,
JO-06-001,جرش,Jerash,محافظة جرش,,,
JO-06-002,سوف,Sof,محافظة جرش,,,
JO-07-001,السلط,Salt,محافظة البلقاء,,,
JO-07-002,الفحيص,Fuheis,محافظة البلقاء,,,
JO-07-003,دير علا,Deir Alla,محافظة البلقاء,,,
JO-08-001,مأدبا,Madaba,محافظة مأدبا,,,
JO-08-002,ذيبان,Dhiban,محافظة مأدبا,,,
JO-09-001,الكرك,Karak,محافظة الكرك,,,
JO-09-002,الفحيص,Al Fuhays,محافظة الكرك,,,
JO-09-003,المزار الجنوبي,Al Mazar,محافظة الكرك,,,
JO-10-001,الطفيلة,Tafilah,محافظة الطفيلة,,,
JO-10-002,بصيرا,Busayra,محافظة الطفيلة,,,
JO-11-001,معان,Ma'an,محافظة معان,,,
JO-11-002,الطيبة,At Tafilah,محافظة معان,,,
JO-11-003,البيضاء,Al Bayda,محافظة معان,,,
JO-12-001,العقبة,Aqaba,محافظة العقبة,,,
JO-12-002,وادي رم,Wadi Rum,محافظة العقبة,,,
IQ-01-001,بغداد,Baghdad,محافظة بغداد,,,
IQ-01-002,الصدر,Sadr City,محافظة بغداد,,,
IQ-01-003,المنصور,Mansour,محافظة بغداد,,,
IQ-01-004,الكرخ,Karkh,محافظة بغداد,,,
IQ-01-005,الرصافة,Rusafa,محافظة بغداد,,,
IQ-02-001,البصرة,Basra,محافظة البصرة,,,
IQ-02-002,أم قصر,Umm Qasr,محافظة البصرة,,,
IQ-02-003,الزبير,Az Zubayr,محافظة البصرة,,,
IQ-02-004,القرنة,Al Qurnah,محافظة البصرة,,,
IQ-03-001,الموصل,Mosul,محافظة نينوى,,,
IQ-03-002,تلعفر,Tal Afar,محافظة نينوى,,,
IQ-03-003,سنجار,Sinjar,محافظة نينوى,,,
IQ-04-001,أربيل,Erbil,محافظة أربيل,,,
IQ-04-002, Shaqlawa,Shaqlawa,محافظة أربيل,,,
IQ-04-003,سوران,Soran,محافظة أربيل,,,
IQ-05-001,السليمانية,Sulaymaniyah,محافظة السليمانية,,,
IQ-05-002,حلبجة,Halabja,محافظة السليمانية,,,
IQ-05-003,رانية,Ranya,محافظة السليمانية,,,
IQ-06-001,دهوك,Duhok,محافظة دهوك,,,
IQ-06-002,زاخو,Zakho,محافظة دهوك,,,
IQ-06-003,أمدي,Amedi,محافظة دهوك,,,
IQ-07-001,كركوك,Kirkuk,محافظة كركوك,,,
IQ-07-002,داقوق,Daquq,محافظة كركوك,,,
IQ-08-001,الرمادي,Ramadi,محافظة الأنبار,,,
IQ-08-002,الفلوجة,Fallujah,محافظة الأنبار,,,
IQ-08-003,هيت,Hit,محافظة الأنبار,,,
IQ-08-004,حديثة,Haditha,محافظة الأنبار,,,
IQ-09-001,بعقوبة,Baqubah,محافظة ديالى,,,
IQ-09-002,المقدادية,Al Muqdadiyah,محافظة ديالى,,,
IQ-10-001,تكريت,Tikrit,محافظة صلاح الدين,,,
IQ-10-002,سامراء,Samarra,محافظة صلاح الدين,,,
IQ-10-003,بلد,Balad,محافظة صلاح الدين,,,
IQ-11-001,الحلة,Hillah,محافظة بابل,,,
IQ-11-002,المسيب,Al Musayyib,محافظة بابل,,,
IQ-11-003,الإسكندرية,Alexandria,محافظة بابل,,,
IQ-12-001,كربلاء,Karbala,محافظة كربلاء,,,
IQ-12-002,الهندية,Al Hindiyah,محافظة كربلاء,,,
IQ-13-001,النجف,Najaf,محافظة النجف,,,
IQ-13-002,الكوفة,Kufa,محافظة النجف,,,
IQ-14-001,الكوت,Kut,محافظة واسط,,,
IQ-14-002,الحي,Al Hayy,محافظة واسط,,,
IQ-15-001,العمارة,Amarah,محافظة ميسان,,,
IQ-15-002,الميمونة,Al Mejar Al Kabi,محافظة ميسان,,,
IQ-16-001,الناصرية,Nasiriyah,محافظة ذي قار,,,
IQ-16-002,سوق الشيوخ,Suq Al Shoyokh,محافظة ذي قار,,,
IQ-17-001,السماوة,Samawah,محافظة مثنى,,,
IQ-17-002,الرميثة,Al Rumaythah,محافظة مثنى,,,
IQ-18-001,الديوانية,Diwaniyah,محافظة قادسية,,,
IQ-18-002,عفك,Afak,محافظة قادسية,,,
IQ-19-001,النجف الأشرف,Najaf,محافظة النجف الأشرف,,,
IQ-19-002,الكوفة,Kufa,محافظة النجف الأشرف,,,
LB-01-001,بيروت,Beirut,محافظة بيروت,,,
LB-01-002,الأشرفية,Achrafieh,محافظة بيروت,,,
LB-01-003,الرملة البيضاء,Ramlat al-Bayda,محافظة بيروت,,,
LB-02-001,جونية,Jounieh,محافظة جبل لبنان,,,
LB-02-002,زحلة,Zahle,محافظة جبل لبنان,,,
LB-02-003,بعبدا,Baabda,محافظة جبل لبنان,,,
LB-02-004,الشوف,Chouf,محافظة جبل لبنان,,,
LB-02-005,المتن,Metn,محافظة جبل لبنان,,,
LB-02-006,كسروان,Keserwan,محافظة جبل لبنان,,,
LB-03-001,طرابلس,Tripoli,محافظة الشمال,,,
LB-03-002,المنية,Al Minya,محافظة الشمال,,,
LB-03-003,زغرتا,Zgharta,محافظة الشمال,,,
LB-03-004,الدريب,Al Dreib,محافظة الشمال,,,
LB-04-001,صيدا,Sidon,محافظة الجنوب,,,
LB-04-002,صور,Tyre,محافظة الجنوب,,,
LB-04-003,الناقورة,Naqoura,محافظة الجنوب,,,
