sector_code,code,name_ar,name_en,description,sort_order
poultry,poultry_cleaning,النظافة - الدواجن,Cleaning Services - Poultry,Cleaning Services within Poultry,84
poultry,poultry_security,الأمن والحراسة - الدواجن,Security Services - Poultry,Security Services within Poultry,85
fisheries,fisheries_consulting,الاستشارات - الثروة السمكية,Consulting - Fisheries,Consulting within Fisheries,86
fisheries,fisheries_maintenance,الصيانة - الثروة السمكية,Maintenance - Fisheries,Maintenance within Fisheries,87
fisheries,fisheries_cleaning,النظافة - الثروة السمكية,Cleaning Services - Fisheries,Cleaning Services within Fisheries,88
fisheries,fisheries_security,الأمن والحراسة - الثروة السمكية,Security Services - Fisheries,Security Services within Fisheries,89
real_estate,real_estate_residential,السكني - العقار,Residential - Real Estate,Residential within Real Estate,90
real_estate,real_estate_commercial,التجاري - العقار,Commercial - Real Estate,Commercial within Real Estate,91
real_estate,real_estate_industrial,الصناعي - العقار,Industrial - Real Estate,Industrial within Real Estate,92
real_estate,real_estate_brokerage,الوساطة العقارية - العقار,Real Estate Brokerage - Real Estate,Real Estate Brokerage within Real Estate,93
contracting,contracting_consulting,الاستشارات - المقاولات,Consulting - Contracting,Consulting within Contracting,94
contracting,contracting_maintenance,الصيانة - المقاولات,Maintenance - Contracting,Maintenance within Contracting,95
contracting,contracting_cleaning,النظافة - المقاولات,Cleaning Services - Contracting,Cleaning Services within Contracting,96
contracting,contracting_security,الأمن والحراسة - المقاولات,Security Services - Contracting,Security Services within Contracting,97
industrial_cities,industrial_cities_factories,المصانع - المدن الصناعية,Factories - Industrial Cities,Factories within Industrial Cities,98
industrial_cities,industrial_cities_workshops,الورش - المدن الصناعية,Workshops - Industrial Cities,Workshops within Industrial Cities,99
industrial_cities,industrial_cities_assembly,التجميع - المدن الصناعية,Assembly - Industrial Cities,Assembly within Industrial Cities,100
industrial_cities,industrial_cities_packaging,التعبئة والتغليف - المدن الصناعية,Packaging - Industrial Cities,Packaging within Industrial Cities,101
logistics,logistics_transport,النقل - اللوجستيات,Transport - Logistics,Transport within Logistics,102
logistics,logistics_warehousing,التخزين - اللوجستيات,Warehousing - Logistics,Warehousing within Logistics,103
logistics,logistics_shipping,الشحن - اللوجستيات,Shipping - Logistics,Shipping within Logistics,104
logistics,logistics_last_mile,التوصيل الأخير - اللوجستيات,Last Mile Delivery - Logistics,Last Mile Delivery within Logistics,105
dry_warehouses,dry_warehouses_transport,النقل - المستودعات الجافة,Transport - Dry Warehouses,Transport within Dry Warehouses,106
dry_warehouses,dry_warehouses_warehousing,التخزين - المستودعات الجافة,Warehousing - Dry Warehouses,Warehousing within Dry Warehouses,107
dry_warehouses,dry_warehouses_shipping,الشحن - المستودعات الجافة,Shipping - Dry Warehouses,Shipping within Dry Warehouses,108
dry_warehouses,dry_warehouses_last_mile,التوصيل الأخير - المستودعات الجافة,Last Mile Delivery - Dry Warehouses,Last Mile Delivery within Dry Warehouses,109
cold_warehouses,cold_warehouses_transport,النقل - المستودعات المبردة,Transport - Cold Storage,Transport within Cold Storage,110
cold_warehouses,cold_warehouses_warehousing,التخزين - المستودعات المبردة,Warehousing - Cold Storage,Warehousing within Cold Storage,111
cold_warehouses,cold_warehouses_shipping,الشحن - المستودعات المبردة,Shipping - Cold Storage,Shipping within Cold Storage,112
cold_warehouses,cold_warehouses_last_mile,التوصيل الأخير - المستودعات المبردة,Last Mile Delivery - Cold Storage,Last Mile Delivery within Cold Storage,113
transport,transport_transport,النقل - النقل,Transport - Transport,Transport within Transport,114
transport,transport_warehousing,التخزين - النقل,Warehousing - Transport,Warehousing within Transport,115
transport,transport_shipping,الشحن - النقل,Shipping - Transport,Shipping within Transport,116
transport,transport_last_mile,التوصيل الأخير - النقل,Last Mile Delivery - Transport,Last Mile Delivery within Transport,117
ports,ports_consulting,الاستشارات - الموانئ,Consulting - Ports,Consulting within Ports,118
ports,ports_maintenance,الصيانة - الموانئ,Maintenance - Ports,Maintenance within Ports,119
ports,ports_cleaning,النظافة - الموانئ,Cleaning Services - Ports,Cleaning Services within Ports,120
ports,ports_security,الأمن والحراسة - الموانئ,Security Services - Ports,Security Services within Ports,121
aviation,aviation_consulting,الاستشارات - الطيران,Consulting - Aviation,Consulting within Aviation,122
aviation,aviation_maintenance,الصيانة - الطيران,Maintenance - Aviation,Maintenance within Aviation,123
aviation,aviation_cleaning,النظافة - الطيران,Cleaning Services - Aviation,Cleaning Services within Aviation,124
aviation,aviation_security,الأمن والحراسة - الطيران,Security Services - Aviation,Security Services within Aviation,125
private_aviation,private_aviation_consulting,الاستشارات - الطيران الخاص,Consulting - Private Aviation,Consulting within Private Aviation,126
private_aviation,private_aviation_maintenance,الصيانة - الطيران الخاص,Maintenance - Private Aviation,Maintenance within Private Aviation,127
private_aviation,private_aviation_cleaning,النظافة - الطيران الخاص,Cleaning Services - Private Aviation,Cleaning Services within Private Aviation,128
private_aviation,private_aviation_security,الأمن والحراسة - الطيران الخاص,Security Services - Private Aviation,Security Services within Private Aviation,129
hajj_umrah,hajj_umrah_consulting,الاستشارات - الحج والعمرة,Consulting - Hajj & Umrah,Consulting within Hajj & Umrah,130
hajj_umrah,hajj_umrah_maintenance,الصيانة - الحج والعمرة,Maintenance - Hajj & Umrah,Maintenance within Hajj & Umrah,131
hajj_umrah,hajj_umrah_cleaning,النظافة - الحج والعمرة,Cleaning Services - Hajj & Umrah,Cleaning Services within Hajj & Umrah,132
hajj_umrah,hajj_umrah_security,الأمن والحراسة - الحج والعمرة,Security Services - Hajj & Umrah,Security Services within Hajj & Umrah,133
tourism,tourism_events,الفعاليات - السياحة,Events - Tourism,Events within Tourism,134
tourism,tourism_media,الإعلام - السياحة,Media - Tourism,Media within Tourism,135
tourism,tourism_sports,الرياضة - السياحة,Sports - Tourism,Sports within Tourism,136
tourism,tourism_tourism,السياحة - السياحة,Tourism - Tourism,Tourism within Tourism,137
hospitality,hospitality_software,البرمجيات - الضيافة,Software - Hospitality,Software within Hospitality,138
hospitality,hospitality_hardware,الأجهزة - الضيافة,Hardware - Hospitality,Hardware within Hospitality,139
hospitality,hospitality_it_services,خدمات تكنولوجيا المعلومات - الضيافة,IT Services - Hospitality,IT Services within Hospitality,140
hospitality,hospitality_telecom,الاتصالات - الضيافة,Telecommunications - Hospitality,Telecommunications within Hospitality,141
entertainment,entertainment_events,الفعاليات - الترفيه,Events - Entertainment,Events within Entertainment,142
entertainment,entertainment_media,الإعلام - الترفيه,Media - Entertainment,Media within Entertainment,143
entertainment,entertainment_sports,الرياضة - الترفيه,Sports - Entertainment,Sports within Entertainment,144
entertainment,entertainment_tourism,السياحة - الترفيه,Tourism - Entertainment,Tourism within Entertainment,145
culture,culture_consulting,الاستشارات - الثقافة,Consulting - Culture,Consulting within Culture,146
culture,culture_maintenance,الصيانة - الثقافة,Maintenance - Culture,Maintenance within Culture,147
culture,culture_cleaning,النظافة - الثقافة,Cleaning Services - Culture,Cleaning Services within Culture,148
culture,culture_security,الأمن والحراسة - الثقافة,Security Services - Culture,Security Services within Culture,149
media,media_events,الفعاليات - الإعلام,Events - Media,Events within Media,150
media,media_media,الإعلام - الإعلام,Media - Media,Media within Media,151
media,media_sports,الرياضة - الإعلام,Sports - Media,Sports within Media,152
media,media_tourism,السياحة - الإعلام,Tourism - Media,Tourism within Media,153
advertising,advertising_consulting,الاستشارات - الإعلان,Consulting - Advertising,Consulting within Advertising,154
advertising,advertising_maintenance,الصيانة - الإعلان,Maintenance - Advertising,Maintenance within Advertising,155
advertising,advertising_cleaning,النظافة - الإعلان,Cleaning Services - Advertising,Cleaning Services within Advertising,156
advertising,advertising_security,الأمن والحراسة - الإعلان,Security Services - Advertising,Security Services within Advertising,157
technology,technology_software,البرمجيات - التقنية,Software - Technology,Software within Technology,158
technology,technology_hardware,الأجهزة - التقنية,Hardware - Technology,Hardware within Technology,159
technology,technology_it_services,خدمات تكنولوجيا المعلومات - التقنية,IT Services - Technology,IT Services within Technology,160
technology,technology_telecom,الاتصالات - التقنية,Telecommunications - Technology,Telecommunications within Technology,161
artificial_intelligence,artificial_intelligence_consulting,الاستشارات - الذكاء الاصطناعي,Consulting - Artificial Intelligence,Consulting within Artificial Intelligence,162
artificial_intelligence,artificial_intelligence_maintenance,الصيانة - الذكاء الاصطناعي,Maintenance - Artificial Intelligence,Maintenance within Artificial Intelligence,163
artificial_intelligence,artificial_intelligence_cleaning,النظافة - الذكاء الاصطناعي,Cleaning Services - Artificial Intelligence,Cleaning Services within Artificial Intelligence,164
artificial_intelligence,artificial_intelligence_security,الأمن والحراسة - الذكاء الاصطناعي,Security Services - Artificial Intelligence,Security Services within Artificial Intelligence,165
cybersecurity,cybersecurity_software,البرمجيات - الأمن السيبراني,Software - Cybersecurity,Software within Cybersecurity,166
cybersecurity,cybersecurity_hardware,الأجهزة - الأمن السيبراني,Hardware - Cybersecurity,Hardware within Cybersecurity,167
cybersecurity,cybersecurity_it_services,خدمات تكنولوجيا المعلومات - الأمن السيبراني,IT Services - Cybersecurity,IT Services within Cybersecurity,168
cybersecurity,cybersecurity_telecom,الاتصالات - الأمن السيبراني,Telecommunications - Cybersecurity,Telecommunications within Cybersecurity,169
commerce,commerce_retail,التجزئة - التجارة,Retail - Commerce,Retail within Commerce,170
commerce,commerce_wholesale,الجملة - التجارة,Wholesale - Commerce,Wholesale within Commerce,171
commerce,commerce_ecommerce,التجارة الإلكترونية - التجارة,E-Commerce - Commerce,E-Commerce within Commerce,172
commerce,commerce_import_export,الاستيراد والتصدير - التجارة,Import & Export - Commerce,Import & Export within Commerce,173
ecommerce,ecommerce_retail,التجزئة - التجارة الإلكترونية,Retail - E-commerce,Retail within E-commerce,174
ecommerce,ecommerce_wholesale,الجملة - التجارة الإلكترونية,Wholesale - E-commerce,Wholesale within E-commerce,175
ecommerce,ecommerce_ecommerce,التجارة الإلكترونية - التجارة الإلكترونية,E-Commerce - E-commerce,E-Commerce within E-commerce,176
ecommerce,ecommerce_import_export,الاستيراد والتصدير - التجارة الإلكترونية,Import & Export - E-commerce,Import & Export within E-commerce,177
public_services,public_services_public_services,الخدمات العامة - الخدمات العامة,Public Services - Public Services,Public Services within Public Services,178
public_services,public_services_consulting,الاستشارات الحكومية - الخدمات العامة,Government Consulting - Public Services,Government Consulting within Public Services,179
public_services,public_services_facilities,إدارة المرافق - الخدمات العامة,Facilities Management - Public Services,Facilities Management within Public Services,180
public_services,public_services_digital,التحول الرقمي - الخدمات العامة,Digital Transformation - Public Services,Digital Transformation within Public Services,181
facilities_management,facilities_management_software,البرمجيات - إدارة المرافق,Software - Facilities Management,Software within Facilities Management,182
facilities_management,facilities_management_hardware,الأجهزة - إدارة المرافق,Hardware - Facilities Management,Hardware within Facilities Management,183
facilities_management,facilities_management_it_services,خدمات تكنولوجيا المعلومات - إدارة المرافق,IT Services - Facilities Management,IT Services within Facilities Management,184
facilities_management,facilities_management_telecom,الاتصالات - إدارة المرافق,Telecommunications - Facilities Management,Telecommunications within Facilities Management,185
consulting,consulting_consulting,الاستشارات - الاستشارات,Consulting - Consulting,Consulting within Consulting,186
consulting,consulting_maintenance,الصيانة - الاستشارات,Maintenance - Consulting,Maintenance within Consulting,187
consulting,consulting_cleaning,النظافة - الاستشارات,Cleaning Services - Consulting,Cleaning Services within Consulting,188
consulting,consulting_security,الأمن والحراسة - الاستشارات,Security Services - Consulting,Security Services within Consulting,189
commercial_brokerage,commercial_brokerage_consulting,الاستشارات - الوساطة التجارية,Consulting - Commercial Brokerage,Consulting within Commercial Brokerage,190
commercial_brokerage,commercial_brokerage_maintenance,الصيانة - الوساطة التجارية,Maintenance - Commercial Brokerage,Maintenance within Commercial Brokerage,191
commercial_brokerage,commercial_brokerage_cleaning,النظافة - الوساطة التجارية,Cleaning Services - Commercial Brokerage,Cleaning Services within Commercial Brokerage,192
commercial_brokerage,commercial_brokerage_security,الأمن والحراسة - الوساطة التجارية,Security Services - Commercial Brokerage,Security Services within Commercial Brokerage,193
insurance_agent,insurance_agent_banking,الخدمات المصرفية - وكيل التأمين,Banking Services - Insurance Agent,Banking Services within Insurance Agent,194
insurance_agent,insurance_agent_insurance,التأمين - وكيل التأمين,Insurance - Insurance Agent,Insurance within Insurance Agent,195
insurance_agent,insurance_agent_fintech,التقنية المالية - وكيل التأمين,Fintech - Insurance Agent,Fintech within Insurance Agent,196
insurance_agent,insurance_agent_investment,الاستثمار - وكيل التأمين,Investment - Insurance Agent,Investment within Insurance Agent,197
insurance_broker,insurance_broker_banking,الخدمات المصرفية - وسيط التأمين,Banking Services - Insurance Broker,Banking Services within Insurance Broker,198
insurance_broker,insurance_broker_insurance,التأمين - وسيط التأمين,Insurance - Insurance Broker,Insurance within Insurance Broker,199
insurance_broker,insurance_broker_fintech,التقنية المالية - وسيط التأمين,Fintech - Insurance Broker,Fintech within Insurance Broker,200
insurance_broker,insurance_broker_investment,الاستثمار - وسيط التأمين,Investment - Insurance Broker,Investment within Insurance Broker,201
human_resources,human_resources_consulting,الاستشارات - الموارد البشرية,Consulting - Human Resources,Consulting within Human Resources,202
human_resources,human_resources_maintenance,الصيانة - الموارد البشرية,Maintenance - Human Resources,Maintenance within Human Resources,203
human_resources,human_resources_cleaning,النظافة - الموارد البشرية,Cleaning Services - Human Resources,Cleaning Services within Human Resources,204
human_resources,human_resources_security,الأمن والحراسة - الموارد البشرية,Security Services - Human Resources,Security Services within Human Resources,205
energy,energy_renewable,الطاقة المتجددة - الطاقة,Renewable Energy - Energy,Renewable Energy within Energy,206
energy,energy_oil_gas,النفط والغاز - الطاقة,Oil & Gas - Energy,Oil & Gas within Energy,207
energy,energy_utilities,الخدمات العامة - الطاقة,Utilities - Energy,Utilities within Energy,208
energy,energy_efficiency,كفاءة الطاقة - الطاقة,Energy Efficiency - Energy,Energy Efficiency within Energy,209
automotive,automotive_consulting,الاستشارات - السيارات,Consulting - Automotive,Consulting within Automotive,210
automotive,automotive_maintenance,الصيانة - السيارات,Maintenance - Automotive,Maintenance within Automotive,211
automotive,automotive_cleaning,النظافة - السيارات,Cleaning Services - Automotive,Cleaning Services within Automotive,212
automotive,automotive_security,الأمن والحراسة - السيارات,Security Services - Automotive,Security Services within Automotive,213
heavy_equipment,heavy_equipment_consulting,الاستشارات - المعدات الثقيلة,Consulting - Heavy Equipment,Consulting within Heavy Equipment,214
heavy_equipment,heavy_equipment_maintenance,الصيانة - المعدات الثقيلة,Maintenance - Heavy Equipment,Maintenance within Heavy Equipment,215
heavy_equipment,heavy_equipment_cleaning,النظافة - المعدات الثقيلة,Cleaning Services - Heavy Equipment,Cleaning Services within Heavy Equipment,216
heavy_equipment,heavy_equipment_security,الأمن والحراسة - المعدات الثقيلة,Security Services - Heavy Equipment,Security Services within Heavy Equipment,217
furniture,furniture_software,البرمجيات - الأثاث,Software - Furniture,Software within Furniture,218
furniture,furniture_hardware,الأجهزة - الأثاث,Hardware - Furniture,Hardware within Furniture,219
furniture,furniture_it_services,خدمات تكنولوجيا المعلومات - الأثاث,IT Services - Furniture,IT Services within Furniture,220
furniture,furniture_telecom,الاتصالات - الأثاث,Telecommunications - Furniture,Telecommunications within Furniture,221
beauty,beauty_consulting,الاستشارات - التجميل,Consulting - Beauty,Consulting within Beauty,222
beauty,beauty_maintenance,الصيانة - التجميل,Maintenance - Beauty,Maintenance within Beauty,223
beauty,beauty_cleaning,النظافة - التجميل,Cleaning Services - Beauty,Cleaning Services within Beauty,224
beauty,beauty_security,الأمن والحراسة - التجميل,Security Services - Beauty,Security Services within Beauty,225
food_beverage,food_beverage_restaurants,المطاعم - الأغذية والمشروبات,Restaurants - Food & Beverage,Restaurants within Food & Beverage,226
food_beverage,food_beverage_cafes,المقاهي - الأغذية والمشروبات,Cafes - Food & Beverage,Cafes within Food & Beverage,227
food_beverage,food_beverage_catering,التموين - الأغذية والمشروبات,Catering - Food & Beverage,Catering within Food & Beverage,228
food_beverage,food_beverage_fast_food,الوجبات السريعة - الأغذية والمشروبات,Fast Food - Food & Beverage,Fast Food within Food & Beverage,229
security_safety,security_safety_software,البرمجيات - الأمن والسلامة,Software - Security & Safety,Software within Security & Safety,230
security_safety,security_safety_hardware,الأجهزة - الأمن والسلامة,Hardware - Security & Safety,Hardware within Security & Safety,231
security_safety,security_safety_it_services,خدمات تكنولوجيا المعلومات - الأمن والسلامة,IT Services - Security & Safety,IT Services within Security & Safety,232
security_safety,security_safety_telecom,الاتصالات - الأمن والسلامة,Telecommunications - Security & Safety,Telecommunications within Security & Safety,233
laboratories,laboratories_consulting,الاستشارات - المختبرات,Consulting - Laboratories,Consulting within Laboratories,234
laboratories,laboratories_maintenance,الصيانة - المختبرات,Maintenance - Laboratories,Maintenance within Laboratories,235
laboratories,laboratories_cleaning,النظافة - المختبرات,Cleaning Services - Laboratories,Cleaning Services within Laboratories,236
laboratories,laboratories_security,الأمن والحراسة - المختبرات,Security Services - Laboratories,Security Services within Laboratories,237
research_development,research_development_residential,السكني - البحث والتطوير,Residential - Research & Development,Residential within Research & Development,238
research_development,research_development_commercial,التجاري - البحث والتطوير,Commercial - Research & Development,Commercial within Research & Development,239
research_development,research_development_industrial,الصناعي - البحث والتطوير,Industrial - Research & Development,Industrial within Research & Development,240
research_development,research_development_brokerage,الوساطة العقارية - البحث والتطوير,Real Estate Brokerage - Research & Development,Real Estate Brokerage within Research & Development,241
sports_economy,sports_economy_events,الفعاليات - الاقتصاد الرياضي,Events - Sports Economy,Events within Sports Economy,242
sports_economy,sports_economy_media,الإعلام - الاقتصاد الرياضي,Media - Sports Economy,Media within Sports Economy,243
sports_economy,sports_economy_sports,الرياضة - الاقتصاد الرياضي,Sports - Sports Economy,Sports within Sports Economy,244
sports_economy,sports_economy_tourism,السياحة - الاقتصاد الرياضي,Tourism - Sports Economy,Tourism within Sports Economy,245
creative_economy,creative_economy_consulting,الاستشارات - الاقتصاد الإبداعي,Consulting - Creative Economy,Consulting within Creative Economy,246
creative_economy,creative_economy_maintenance,الصيانة - الاقتصاد الإبداعي,Maintenance - Creative Economy,Maintenance within Creative Economy,247
creative_economy,creative_economy_cleaning,النظافة - الاقتصاد الإبداعي,Cleaning Services - Creative Economy,Cleaning Services within Creative Economy,248
creative_economy,creative_economy_security,الأمن والحراسة - الاقتصاد الإبداعي,Security Services - Creative Economy,Security Services within Creative Economy,249
environment_sustainability,environment_sustainability_software,البرمجيات - البيئة والاستدامة,Software - Environment & Sustainability,Software within Environment & Sustainability,250
