activity_code,code,name_ar,name_en,description,sort_order
industrial_packaging_activity,industrial_packaging_activity_small,التعبئة والتغليف صغير,Small Packaging,Small scale operation,61
industrial_packaging_activity,industrial_packaging_activity_medium,التعبئة والتغليف متوسط,Medium Packaging,Medium scale operation,62
industrial_packaging_activity,industrial_packaging_activity_large,التعبئة والتغليف كبير,Large Packaging,Large scale operation,63
food_industries_restaurants_activity,food_industries_restaurants_activity_small,المطاعم صغير,Small Restaurants,Small scale operation,64
food_industries_restaurants_activity,food_industries_restaurants_activity_medium,المطاعم متوسط,Medium Restaurants,Medium scale operation,65
food_industries_restaurants_activity,food_industries_restaurants_activity_large,المطاعم كبير,Large Restaurants,Large scale operation,66
food_industries_cafes_activity,food_industries_cafes_activity_small,المقاهي صغير,Small Cafes,Small scale operation,67
food_industries_cafes_activity,food_industries_cafes_activity_medium,المقاهي متوسط,Medium Cafes,Medium scale operation,68
food_industries_cafes_activity,food_industries_cafes_activity_large,المقاهي كبير,Large Cafes,Large scale operation,69
food_industries_catering_activity,food_industries_catering_activity_small,التموين صغير,Small Catering,Small scale operation,70
food_industries_catering_activity,food_industries_catering_activity_medium,التموين متوسط,Medium Catering,Medium scale operation,71
food_industries_catering_activity,food_industries_catering_activity_large,التموين كبير,Large Catering,Large scale operation,72
food_industries_fast_food_activity,food_industries_fast_food_activity_small,الوجبات السريعة صغير,Small Fast Food,Small scale operation,73
food_industries_fast_food_activity,food_industries_fast_food_activity_medium,الوجبات السريعة متوسط,Medium Fast Food,Medium scale operation,74
food_industries_fast_food_activity,food_industries_fast_food_activity_large,الوجبات السريعة كبير,Large Fast Food,Large scale operation,75
pharmaceutical_industries_consulting_activity,pharmaceutical_industries_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,76
pharmaceutical_industries_consulting_activity,pharmaceutical_industries_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,77
pharmaceutical_industries_consulting_activity,pharmaceutical_industries_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,78
pharmaceutical_industries_maintenance_activity,pharmaceutical_industries_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,79
pharmaceutical_industries_maintenance_activity,pharmaceutical_industries_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,80
pharmaceutical_industries_maintenance_activity,pharmaceutical_industries_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,81
pharmaceutical_industries_cleaning_activity,pharmaceutical_industries_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,82
pharmaceutical_industries_cleaning_activity,pharmaceutical_industries_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,83
pharmaceutical_industries_cleaning_activity,pharmaceutical_industries_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,84
pharmaceutical_industries_security_activity,pharmaceutical_industries_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,85
pharmaceutical_industries_security_activity,pharmaceutical_industries_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,86
pharmaceutical_industries_security_activity,pharmaceutical_industries_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,87
chemical_industries_consulting_activity,chemical_industries_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,88
chemical_industries_consulting_activity,chemical_industries_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,89
chemical_industries_consulting_activity,chemical_industries_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,90
chemical_industries_maintenance_activity,chemical_industries_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,91
chemical_industries_maintenance_activity,chemical_industries_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,92
chemical_industries_maintenance_activity,chemical_industries_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,93
chemical_industries_cleaning_activity,chemical_industries_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,94
chemical_industries_cleaning_activity,chemical_industries_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,95
chemical_industries_cleaning_activity,chemical_industries_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,96
chemical_industries_security_activity,chemical_industries_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,97
chemical_industries_security_activity,chemical_industries_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,98
chemical_industries_security_activity,chemical_industries_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,99
mining_consulting_activity,mining_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,100
mining_consulting_activity,mining_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,101
mining_consulting_activity,mining_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,102
mining_maintenance_activity,mining_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,103
mining_maintenance_activity,mining_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,104
mining_maintenance_activity,mining_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,105
mining_cleaning_activity,mining_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,106
mining_cleaning_activity,mining_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,107
mining_cleaning_activity,mining_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,108
mining_security_activity,mining_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,109
mining_security_activity,mining_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,110
mining_security_activity,mining_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,111
geology_consulting_activity,geology_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,112
geology_consulting_activity,geology_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,113
geology_consulting_activity,geology_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,114
geology_maintenance_activity,geology_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,115
geology_maintenance_activity,geology_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,116
geology_maintenance_activity,geology_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,117
geology_cleaning_activity,geology_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,118
geology_cleaning_activity,geology_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,119
geology_cleaning_activity,geology_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,120
geology_security_activity,geology_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,121
geology_security_activity,geology_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,122
geology_security_activity,geology_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,123
oil_gas_renewable_activity,oil_gas_renewable_activity_small,الطاقة المتجددة صغير,Small Renewable Energy,Small scale operation,124
oil_gas_renewable_activity,oil_gas_renewable_activity_medium,الطاقة المتجددة متوسط,Medium Renewable Energy,Medium scale operation,125
oil_gas_renewable_activity,oil_gas_renewable_activity_large,الطاقة المتجددة كبير,Large Renewable Energy,Large scale operation,126
oil_gas_oil_gas_activity,oil_gas_oil_gas_activity_small,النفط والغاز صغير,Small Oil & Gas,Small scale operation,127
oil_gas_oil_gas_activity,oil_gas_oil_gas_activity_medium,النفط والغاز متوسط,Medium Oil & Gas,Medium scale operation,128
oil_gas_oil_gas_activity,oil_gas_oil_gas_activity_large,النفط والغاز كبير,Large Oil & Gas,Large scale operation,129
oil_gas_utilities_activity,oil_gas_utilities_activity_small,الخدمات العامة صغير,Small Utilities,Small scale operation,130
oil_gas_utilities_activity,oil_gas_utilities_activity_medium,الخدمات العامة متوسط,Medium Utilities,Medium scale operation,131
oil_gas_utilities_activity,oil_gas_utilities_activity_large,الخدمات العامة كبير,Large Utilities,Large scale operation,132
oil_gas_efficiency_activity,oil_gas_efficiency_activity_small,كفاءة الطاقة صغير,Small Energy Efficiency,Small scale operation,133
oil_gas_efficiency_activity,oil_gas_efficiency_activity_medium,كفاءة الطاقة متوسط,Medium Energy Efficiency,Medium scale operation,134
oil_gas_efficiency_activity,oil_gas_efficiency_activity_large,كفاءة الطاقة كبير,Large Energy Efficiency,Large scale operation,135
oil_refineries_renewable_activity,oil_refineries_renewable_activity_small,الطاقة المتجددة صغير,Small Renewable Energy,Small scale operation,136
oil_refineries_renewable_activity,oil_refineries_renewable_activity_medium,الطاقة المتجددة متوسط,Medium Renewable Energy,Medium scale operation,137
oil_refineries_renewable_activity,oil_refineries_renewable_activity_large,الطاقة المتجددة كبير,Large Renewable Energy,Large scale operation,138
oil_refineries_oil_gas_activity,oil_refineries_oil_gas_activity_small,النفط والغاز صغير,Small Oil & Gas,Small scale operation,139
oil_refineries_oil_gas_activity,oil_refineries_oil_gas_activity_medium,النفط والغاز متوسط,Medium Oil & Gas,Medium scale operation,140
oil_refineries_oil_gas_activity,oil_refineries_oil_gas_activity_large,النفط والغاز كبير,Large Oil & Gas,Large scale operation,141
oil_refineries_utilities_activity,oil_refineries_utilities_activity_small,الخدمات العامة صغير,Small Utilities,Small scale operation,142
oil_refineries_utilities_activity,oil_refineries_utilities_activity_medium,الخدمات العامة متوسط,Medium Utilities,Medium scale operation,143
oil_refineries_utilities_activity,oil_refineries_utilities_activity_large,الخدمات العامة كبير,Large Utilities,Large scale operation,144
oil_refineries_efficiency_activity,oil_refineries_efficiency_activity_small,كفاءة الطاقة صغير,Small Energy Efficiency,Small scale operation,145
oil_refineries_efficiency_activity,oil_refineries_efficiency_activity_medium,كفاءة الطاقة متوسط,Medium Energy Efficiency,Medium scale operation,146
oil_refineries_efficiency_activity,oil_refineries_efficiency_activity_large,كفاءة الطاقة كبير,Large Energy Efficiency,Large scale operation,147
metal_refineries_consulting_activity,metal_refineries_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,148
metal_refineries_consulting_activity,metal_refineries_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,149
metal_refineries_consulting_activity,metal_refineries_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,150
metal_refineries_maintenance_activity,metal_refineries_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,151
metal_refineries_maintenance_activity,metal_refineries_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,152
metal_refineries_maintenance_activity,metal_refineries_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,153
metal_refineries_cleaning_activity,metal_refineries_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,154
metal_refineries_cleaning_activity,metal_refineries_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,155
metal_refineries_cleaning_activity,metal_refineries_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,156
metal_refineries_security_activity,metal_refineries_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,157
metal_refineries_security_activity,metal_refineries_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,158
metal_refineries_security_activity,metal_refineries_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,159
water_consulting_activity,water_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,160
water_consulting_activity,water_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,161
water_consulting_activity,water_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,162
water_maintenance_activity,water_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,163
water_maintenance_activity,water_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,164
water_maintenance_activity,water_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,165
water_cleaning_activity,water_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,166
water_cleaning_activity,water_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,167
water_cleaning_activity,water_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,168
water_security_activity,water_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,169
water_security_activity,water_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,170
water_security_activity,water_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,171
well_drilling_consulting_activity,well_drilling_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,172
well_drilling_consulting_activity,well_drilling_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,173
well_drilling_consulting_activity,well_drilling_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,174
well_drilling_maintenance_activity,well_drilling_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,175
well_drilling_maintenance_activity,well_drilling_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,176
well_drilling_maintenance_activity,well_drilling_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,177
well_drilling_cleaning_activity,well_drilling_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,178
well_drilling_cleaning_activity,well_drilling_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,179
well_drilling_cleaning_activity,well_drilling_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,180
well_drilling_security_activity,well_drilling_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,181
well_drilling_security_activity,well_drilling_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,182
well_drilling_security_activity,well_drilling_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,183
agriculture_farming_activity,agriculture_farming_activity_small,الزراعة صغير,Small Farming,Small scale operation,184
agriculture_farming_activity,agriculture_farming_activity_medium,الزراعة متوسط,Medium Farming,Medium scale operation,185
agriculture_farming_activity,agriculture_farming_activity_large,الزراعة كبير,Large Farming,Large scale operation,186
agriculture_livestock_activity,agriculture_livestock_activity_small,تربية الحيوان صغير,Small Livestock,Small scale operation,187
agriculture_livestock_activity,agriculture_livestock_activity_medium,تربية الحيوان متوسط,Medium Livestock,Medium scale operation,188
agriculture_livestock_activity,agriculture_livestock_activity_large,تربية الحيوان كبير,Large Livestock,Large scale operation,189
agriculture_processing_activity,agriculture_processing_activity_small,تجهيز المنتجات صغير,Small Processing,Small scale operation,190
agriculture_processing_activity,agriculture_processing_activity_medium,تجهيز المنتجات متوسط,Medium Processing,Medium scale operation,191
agriculture_processing_activity,agriculture_processing_activity_large,تجهيز المنتجات كبير,Large Processing,Large scale operation,192
agriculture_distribution_activity,agriculture_distribution_activity_small,التوزيع صغير,Small Distribution,Small scale operation,193
agriculture_distribution_activity,agriculture_distribution_activity_medium,التوزيع متوسط,Medium Distribution,Medium scale operation,194
agriculture_distribution_activity,agriculture_distribution_activity_large,التوزيع كبير,Large Distribution,Large scale operation,195
agricultural_inputs_farming_activity,agricultural_inputs_farming_activity_small,الزراعة صغير,Small Farming,Small scale operation,196
agricultural_inputs_farming_activity,agricultural_inputs_farming_activity_medium,الزراعة متوسط,Medium Farming,Medium scale operation,197
agricultural_inputs_farming_activity,agricultural_inputs_farming_activity_large,الزراعة كبير,Large Farming,Large scale operation,198
agricultural_inputs_livestock_activity,agricultural_inputs_livestock_activity_small,تربية الحيوان صغير,Small Livestock,Small scale operation,199
agricultural_inputs_livestock_activity,agricultural_inputs_livestock_activity_medium,تربية الحيوان متوسط,Medium Livestock,Medium scale operation,200
agricultural_inputs_livestock_activity,agricultural_inputs_livestock_activity_large,تربية الحيوان كبير,Large Livestock,Large scale operation,201
agricultural_inputs_processing_activity,agricultural_inputs_processing_activity_small,تجهيز المنتجات صغير,Small Processing,Small scale operation,202
agricultural_inputs_processing_activity,agricultural_inputs_processing_activity_medium,تجهيز المنتجات متوسط,Medium Processing,Medium scale operation,203
agricultural_inputs_processing_activity,agricultural_inputs_processing_activity_large,تجهيز المنتجات كبير,Large Processing,Large scale operation,204
agricultural_inputs_distribution_activity,agricultural_inputs_distribution_activity_small,التوزيع صغير,Small Distribution,Small scale operation,205
agricultural_inputs_distribution_activity,agricultural_inputs_distribution_activity_medium,التوزيع متوسط,Medium Distribution,Medium scale operation,206
agricultural_inputs_distribution_activity,agricultural_inputs_distribution_activity_large,التوزيع كبير,Large Distribution,Large scale operation,207
desertification_control_consulting_activity,desertification_control_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,208
desertification_control_consulting_activity,desertification_control_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,209
desertification_control_consulting_activity,desertification_control_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,210
desertification_control_maintenance_activity,desertification_control_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,211
desertification_control_maintenance_activity,desertification_control_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,212
desertification_control_maintenance_activity,desertification_control_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,213
desertification_control_cleaning_activity,desertification_control_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,214
desertification_control_cleaning_activity,desertification_control_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,215
desertification_control_cleaning_activity,desertification_control_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,216
desertification_control_security_activity,desertification_control_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,217
desertification_control_security_activity,desertification_control_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,218
desertification_control_security_activity,desertification_control_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,219
livestock_farming_activity,livestock_farming_activity_small,الزراعة صغير,Small Farming,Small scale operation,220
livestock_farming_activity,livestock_farming_activity_medium,الزراعة متوسط,Medium Farming,Medium scale operation,221
livestock_farming_activity,livestock_farming_activity_large,الزراعة كبير,Large Farming,Large scale operation,222
livestock_livestock_activity,livestock_livestock_activity_small,تربية الحيوان صغير,Small Livestock,Small scale operation,223
livestock_livestock_activity,livestock_livestock_activity_medium,تربية الحيوان متوسط,Medium Livestock,Medium scale operation,224
livestock_livestock_activity,livestock_livestock_activity_large,تربية الحيوان كبير,Large Livestock,Large scale operation,225
livestock_processing_activity,livestock_processing_activity_small,تجهيز المنتجات صغير,Small Processing,Small scale operation,226
livestock_processing_activity,livestock_processing_activity_medium,تجهيز المنتجات متوسط,Medium Processing,Medium scale operation,227
livestock_processing_activity,livestock_processing_activity_large,تجهيز المنتجات كبير,Large Processing,Large scale operation,228
livestock_distribution_activity,livestock_distribution_activity_small,التوزيع صغير,Small Distribution,Small scale operation,229
livestock_distribution_activity,livestock_distribution_activity_medium,التوزيع متوسط,Medium Distribution,Medium scale operation,230
livestock_distribution_activity,livestock_distribution_activity_large,التوزيع كبير,Large Distribution,Large scale operation,231
poultry_consulting_activity,poultry_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,232
poultry_consulting_activity,poultry_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,233
poultry_consulting_activity,poultry_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,234
poultry_maintenance_activity,poultry_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,235
poultry_maintenance_activity,poultry_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,236
poultry_maintenance_activity,poultry_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,237
poultry_cleaning_activity,poultry_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,238
poultry_cleaning_activity,poultry_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,239
poultry_cleaning_activity,poultry_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,240
poultry_security_activity,poultry_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,241
poultry_security_activity,poultry_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,242
poultry_security_activity,poultry_security_activity_large,الأمن والحراسة كبير,Large Security Services,Large scale operation,243
fisheries_consulting_activity,fisheries_consulting_activity_small,الاستشارات صغير,Small Consulting,Small scale operation,244
fisheries_consulting_activity,fisheries_consulting_activity_medium,الاستشارات متوسط,Medium Consulting,Medium scale operation,245
fisheries_consulting_activity,fisheries_consulting_activity_large,الاستشارات كبير,Large Consulting,Large scale operation,246
fisheries_maintenance_activity,fisheries_maintenance_activity_small,الصيانة صغير,Small Maintenance,Small scale operation,247
fisheries_maintenance_activity,fisheries_maintenance_activity_medium,الصيانة متوسط,Medium Maintenance,Medium scale operation,248
fisheries_maintenance_activity,fisheries_maintenance_activity_large,الصيانة كبير,Large Maintenance,Large scale operation,249
fisheries_cleaning_activity,fisheries_cleaning_activity_small,النظافة صغير,Small Cleaning Services,Small scale operation,250
fisheries_cleaning_activity,fisheries_cleaning_activity_medium,النظافة متوسط,Medium Cleaning Services,Medium scale operation,251
fisheries_cleaning_activity,fisheries_cleaning_activity_large,النظافة كبير,Large Cleaning Services,Large scale operation,252
fisheries_security_activity,fisheries_security_activity_small,الأمن والحراسة صغير,Small Security Services,Small scale operation,253
fisheries_security_activity,fisheries_security_activity_medium,الأمن والحراسة متوسط,Medium Security Services,Medium scale operation,254
