activity_detail_code,code,name_ar,name_en,size_category,model_type,capex_min,capex_max,revenue_min,revenue_max,employee_count_min,employee_count_max,typical_roi_months,is_published
awqaf_consulting_activity_large,awqaf_consulting_activity_large_model,نموذج الاستشارات كبير,Large Consulting Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
awqaf_maintenance_activity_small,awqaf_maintenance_activity_small_model,نموذج الصيانة صغير,Small Maintenance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
awqaf_maintenance_activity_medium,awqaf_maintenance_activity_medium_model,نموذج الصيانة متوسط,Medium Maintenance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
awqaf_maintenance_activity_large,awqaf_maintenance_activity_large_model,نموذج الصيانة كبير,Large Maintenance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
awqaf_cleaning_activity_small,awqaf_cleaning_activity_small_model,نموذج النظافة صغير,Small Cleaning Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
awqaf_cleaning_activity_medium,awqaf_cleaning_activity_medium_model,نموذج النظافة متوسط,Medium Cleaning Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
awqaf_cleaning_activity_large,awqaf_cleaning_activity_large_model,نموذج النظافة كبير,Large Cleaning Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
awqaf_security_activity_small,awqaf_security_activity_small_model,نموذج الأمن والحراسة صغير,Small Security Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
awqaf_security_activity_medium,awqaf_security_activity_medium_model,نموذج الأمن والحراسة متوسط,Medium Security Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
awqaf_security_activity_large,awqaf_security_activity_large_model,نموذج الأمن والحراسة كبير,Large Security Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
education_schools_activity_small,education_schools_activity_small_model,نموذج المدارس صغير,Small Schools Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
education_schools_activity_medium,education_schools_activity_medium_model,نموذج المدارس متوسط,Medium Schools Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
education_schools_activity_large,education_schools_activity_large_model,نموذج المدارس كبير,Large Schools Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
education_training_activity_small,education_training_activity_small_model,نموذج مراكز التدريب صغير,Small Training Centers Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
education_training_activity_medium,education_training_activity_medium_model,نموذج مراكز التدريب متوسط,Medium Training Centers Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
education_training_activity_large,education_training_activity_large_model,نموذج مراكز التدريب كبير,Large Training Centers Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
education_universities_activity_small,education_universities_activity_small_model,نموذج الجامعات صغير,Small Universities Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
education_universities_activity_medium,education_universities_activity_medium_model,نموذج الجامعات متوسط,Medium Universities Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
education_universities_activity_large,education_universities_activity_large_model,نموذج الجامعات كبير,Large Universities Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
education_elearning_activity_small,education_elearning_activity_small_model,نموذج التعليم الإلكتروني صغير,Small E-Learning Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
education_elearning_activity_medium,education_elearning_activity_medium_model,نموذج التعليم الإلكتروني متوسط,Medium E-Learning Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
education_elearning_activity_large,education_elearning_activity_large_model,نموذج التعليم الإلكتروني كبير,Large E-Learning Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
industrial_factories_activity_small,industrial_factories_activity_small_model,نموذج المصانع صغير,Small Factories Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
industrial_factories_activity_medium,industrial_factories_activity_medium_model,نموذج المصانع متوسط,Medium Factories Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
industrial_factories_activity_large,industrial_factories_activity_large_model,نموذج المصانع كبير,Large Factories Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
industrial_workshops_activity_small,industrial_workshops_activity_small_model,نموذج الورش صغير,Small Workshops Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
industrial_workshops_activity_medium,industrial_workshops_activity_medium_model,نموذج الورش متوسط,Medium Workshops Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
industrial_workshops_activity_large,industrial_workshops_activity_large_model,نموذج الورش كبير,Large Workshops Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
industrial_assembly_activity_small,industrial_assembly_activity_small_model,نموذج التجميع صغير,Small Assembly Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
industrial_assembly_activity_medium,industrial_assembly_activity_medium_model,نموذج التجميع متوسط,Medium Assembly Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
industrial_assembly_activity_large,industrial_assembly_activity_large_model,نموذج التجميع كبير,Large Assembly Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
industrial_packaging_activity_small,industrial_packaging_activity_small_model,نموذج التعبئة والتغليف صغير,Small Packaging Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
industrial_packaging_activity_medium,industrial_packaging_activity_medium_model,نموذج التعبئة والتغليف متوسط,Medium Packaging Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
industrial_packaging_activity_large,industrial_packaging_activity_large_model,نموذج التعبئة والتغليف كبير,Large Packaging Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
food_industries_restaurants_activity_small,food_industries_restaurants_activity_small_model,نموذج المطاعم صغير,Small Restaurants Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
food_industries_restaurants_activity_medium,food_industries_restaurants_activity_medium_model,نموذج المطاعم متوسط,Medium Restaurants Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
food_industries_restaurants_activity_large,food_industries_restaurants_activity_large_model,نموذج المطاعم كبير,Large Restaurants Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
food_industries_cafes_activity_small,food_industries_cafes_activity_small_model,نموذج المقاهي صغير,Small Cafes Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
food_industries_cafes_activity_medium,food_industries_cafes_activity_medium_model,نموذج المقاهي متوسط,Medium Cafes Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
food_industries_cafes_activity_large,food_industries_cafes_activity_large_model,نموذج المقاهي كبير,Large Cafes Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
food_industries_catering_activity_small,food_industries_catering_activity_small_model,نموذج التموين صغير,Small Catering Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
food_industries_catering_activity_medium,food_industries_catering_activity_medium_model,نموذج التموين متوسط,Medium Catering Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
food_industries_catering_activity_large,food_industries_catering_activity_large_model,نموذج التموين كبير,Large Catering Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
food_industries_fast_food_activity_small,food_industries_fast_food_activity_small_model,نموذج الوجبات السريعة صغير,Small Fast Food Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
food_industries_fast_food_activity_medium,food_industries_fast_food_activity_medium_model,نموذج الوجبات السريعة متوسط,Medium Fast Food Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
food_industries_fast_food_activity_large,food_industries_fast_food_activity_large_model,نموذج الوجبات السريعة كبير,Large Fast Food Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
pharmaceutical_industries_consulting_activity_small,pharmaceutical_industries_consulting_activity_small_model,نموذج الاستشارات صغير,Small Consulting Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
pharmaceutical_industries_consulting_activity_medium,pharmaceutical_industries_consulting_activity_medium_model,نموذج الاستشارات متوسط,Medium Consulting Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
pharmaceutical_industries_consulting_activity_large,pharmaceutical_industries_consulting_activity_large_model,نموذج الاستشارات كبير,Large Consulting Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
pharmaceutical_industries_maintenance_activity_small,pharmaceutical_industries_maintenance_activity_small_model,نموذج الصيانة صغير,Small Maintenance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
pharmaceutical_industries_maintenance_activity_medium,pharmaceutical_industries_maintenance_activity_medium_model,نموذج الصيانة متوسط,Medium Maintenance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
pharmaceutical_industries_maintenance_activity_large,pharmaceutical_industries_maintenance_activity_large_model,نموذج الصيانة كبير,Large Maintenance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
pharmaceutical_industries_cleaning_activity_small,pharmaceutical_industries_cleaning_activity_small_model,نموذج النظافة صغير,Small Cleaning Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
pharmaceutical_industries_cleaning_activity_medium,pharmaceutical_industries_cleaning_activity_medium_model,نموذج النظافة متوسط,Medium Cleaning Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
pharmaceutical_industries_cleaning_activity_large,pharmaceutical_industries_cleaning_activity_large_model,نموذج النظافة كبير,Large Cleaning Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
pharmaceutical_industries_security_activity_small,pharmaceutical_industries_security_activity_small_model,نموذج الأمن والحراسة صغير,Small Security Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
pharmaceutical_industries_security_activity_medium,pharmaceutical_industries_security_activity_medium_model,نموذج الأمن والحراسة متوسط,Medium Security Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
pharmaceutical_industries_security_activity_large,pharmaceutical_industries_security_activity_large_model,نموذج الأمن والحراسة كبير,Large Security Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
chemical_industries_consulting_activity_small,chemical_industries_consulting_activity_small_model,نموذج الاستشارات صغير,Small Consulting Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
chemical_industries_consulting_activity_medium,chemical_industries_consulting_activity_medium_model,نموذج الاستشارات متوسط,Medium Consulting Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
chemical_industries_consulting_activity_large,chemical_industries_consulting_activity_large_model,نموذج الاستشارات كبير,Large Consulting Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
chemical_industries_maintenance_activity_small,chemical_industries_maintenance_activity_small_model,نموذج الصيانة صغير,Small Maintenance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
chemical_industries_maintenance_activity_medium,chemical_industries_maintenance_activity_medium_model,نموذج الصيانة متوسط,Medium Maintenance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
chemical_industries_maintenance_activity_large,chemical_industries_maintenance_activity_large_model,نموذج الصيانة كبير,Large Maintenance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
chemical_industries_cleaning_activity_small,chemical_industries_cleaning_activity_small_model,نموذج النظافة صغير,Small Cleaning Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
chemical_industries_cleaning_activity_medium,chemical_industries_cleaning_activity_medium_model,نموذج النظافة متوسط,Medium Cleaning Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
chemical_industries_cleaning_activity_large,chemical_industries_cleaning_activity_large_model,نموذج النظافة كبير,Large Cleaning Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
chemical_industries_security_activity_small,chemical_industries_security_activity_small_model,نموذج الأمن والحراسة صغير,Small Security Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
chemical_industries_security_activity_medium,chemical_industries_security_activity_medium_model,نموذج الأمن والحراسة متوسط,Medium Security Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
chemical_industries_security_activity_large,chemical_industries_security_activity_large_model,نموذج الأمن والحراسة كبير,Large Security Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
mining_consulting_activity_small,mining_consulting_activity_small_model,نموذج الاستشارات صغير,Small Consulting Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
mining_consulting_activity_medium,mining_consulting_activity_medium_model,نموذج الاستشارات متوسط,Medium Consulting Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
mining_consulting_activity_large,mining_consulting_activity_large_model,نموذج الاستشارات كبير,Large Consulting Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
mining_maintenance_activity_small,mining_maintenance_activity_small_model,نموذج الصيانة صغير,Small Maintenance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
mining_maintenance_activity_medium,mining_maintenance_activity_medium_model,نموذج الصيانة متوسط,Medium Maintenance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
mining_maintenance_activity_large,mining_maintenance_activity_large_model,نموذج الصيانة كبير,Large Maintenance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
mining_cleaning_activity_small,mining_cleaning_activity_small_model,نموذج النظافة صغير,Small Cleaning Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
mining_cleaning_activity_medium,mining_cleaning_activity_medium_model,نموذج النظافة متوسط,Medium Cleaning Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
mining_cleaning_activity_large,mining_cleaning_activity_large_model,نموذج النظافة كبير,Large Cleaning Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
mining_security_activity_small,mining_security_activity_small_model,نموذج الأمن والحراسة صغير,Small Security Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
mining_security_activity_medium,mining_security_activity_medium_model,نموذج الأمن والحراسة متوسط,Medium Security Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
mining_security_activity_large,mining_security_activity_large_model,نموذج الأمن والحراسة كبير,Large Security Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
geology_consulting_activity_small,geology_consulting_activity_small_model,نموذج الاستشارات صغير,Small Consulting Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
geology_consulting_activity_medium,geology_consulting_activity_medium_model,نموذج الاستشارات متوسط,Medium Consulting Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
geology_consulting_activity_large,geology_consulting_activity_large_model,نموذج الاستشارات كبير,Large Consulting Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
geology_maintenance_activity_small,geology_maintenance_activity_small_model,نموذج الصيانة صغير,Small Maintenance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
geology_maintenance_activity_medium,geology_maintenance_activity_medium_model,نموذج الصيانة متوسط,Medium Maintenance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
geology_maintenance_activity_large,geology_maintenance_activity_large_model,نموذج الصيانة كبير,Large Maintenance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
geology_cleaning_activity_small,geology_cleaning_activity_small_model,نموذج النظافة صغير,Small Cleaning Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
geology_cleaning_activity_medium,geology_cleaning_activity_medium_model,نموذج النظافة متوسط,Medium Cleaning Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
geology_cleaning_activity_large,geology_cleaning_activity_large_model,نموذج النظافة كبير,Large Cleaning Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
geology_security_activity_small,geology_security_activity_small_model,نموذج الأمن والحراسة صغير,Small Security Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
geology_security_activity_medium,geology_security_activity_medium_model,نموذج الأمن والحراسة متوسط,Medium Security Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
geology_security_activity_large,geology_security_activity_large_model,نموذج الأمن والحراسة كبير,Large Security Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_gas_renewable_activity_small,oil_gas_renewable_activity_small_model,نموذج الطاقة المتجددة صغير,Small Renewable Energy Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_gas_renewable_activity_medium,oil_gas_renewable_activity_medium_model,نموذج الطاقة المتجددة متوسط,Medium Renewable Energy Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_gas_renewable_activity_large,oil_gas_renewable_activity_large_model,نموذج الطاقة المتجددة كبير,Large Renewable Energy Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_gas_oil_gas_activity_small,oil_gas_oil_gas_activity_small_model,نموذج النفط والغاز صغير,Small Oil & Gas Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_gas_oil_gas_activity_medium,oil_gas_oil_gas_activity_medium_model,نموذج النفط والغاز متوسط,Medium Oil & Gas Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_gas_oil_gas_activity_large,oil_gas_oil_gas_activity_large_model,نموذج النفط والغاز كبير,Large Oil & Gas Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_gas_utilities_activity_small,oil_gas_utilities_activity_small_model,نموذج الخدمات العامة صغير,Small Utilities Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_gas_utilities_activity_medium,oil_gas_utilities_activity_medium_model,نموذج الخدمات العامة متوسط,Medium Utilities Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_gas_utilities_activity_large,oil_gas_utilities_activity_large_model,نموذج الخدمات العامة كبير,Large Utilities Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_gas_efficiency_activity_small,oil_gas_efficiency_activity_small_model,نموذج كفاءة الطاقة صغير,Small Energy Efficiency Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_gas_efficiency_activity_medium,oil_gas_efficiency_activity_medium_model,نموذج كفاءة الطاقة متوسط,Medium Energy Efficiency Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_gas_efficiency_activity_large,oil_gas_efficiency_activity_large_model,نموذج كفاءة الطاقة كبير,Large Energy Efficiency Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_refineries_renewable_activity_small,oil_refineries_renewable_activity_small_model,نموذج الطاقة المتجددة صغير,Small Renewable Energy Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_refineries_renewable_activity_medium,oil_refineries_renewable_activity_medium_model,نموذج الطاقة المتجددة متوسط,Medium Renewable Energy Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_refineries_renewable_activity_large,oil_refineries_renewable_activity_large_model,نموذج الطاقة المتجددة كبير,Large Renewable Energy Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_refineries_oil_gas_activity_small,oil_refineries_oil_gas_activity_small_model,نموذج النفط والغاز صغير,Small Oil & Gas Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_refineries_oil_gas_activity_medium,oil_refineries_oil_gas_activity_medium_model,نموذج النفط والغاز متوسط,Medium Oil & Gas Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_refineries_oil_gas_activity_large,oil_refineries_oil_gas_activity_large_model,نموذج النفط والغاز كبير,Large Oil & Gas Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_refineries_utilities_activity_small,oil_refineries_utilities_activity_small_model,نموذج الخدمات العامة صغير,Small Utilities Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_refineries_utilities_activity_medium,oil_refineries_utilities_activity_medium_model,نموذج الخدمات العامة متوسط,Medium Utilities Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_refineries_utilities_activity_large,oil_refineries_utilities_activity_large_model,نموذج الخدمات العامة كبير,Large Utilities Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
oil_refineries_efficiency_activity_small,oil_refineries_efficiency_activity_small_model,نموذج كفاءة الطاقة صغير,Small Energy Efficiency Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
oil_refineries_efficiency_activity_medium,oil_refineries_efficiency_activity_medium_model,نموذج كفاءة الطاقة متوسط,Medium Energy Efficiency Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
oil_refineries_efficiency_activity_large,oil_refineries_efficiency_activity_large_model,نموذج كفاءة الطاقة كبير,Large Energy Efficiency Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
metal_refineries_consulting_activity_small,metal_refineries_consulting_activity_small_model,نموذج الاستشارات صغير,Small Consulting Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
metal_refineries_consulting_activity_medium,metal_refineries_consulting_activity_medium_model,نموذج الاستشارات متوسط,Medium Consulting Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
metal_refineries_consulting_activity_large,metal_refineries_consulting_activity_large_model,نموذج الاستشارات كبير,Large Consulting Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
metal_refineries_maintenance_activity_small,metal_refineries_maintenance_activity_small_model,نموذج الصيانة صغير,Small Maintenance Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
metal_refineries_maintenance_activity_medium,metal_refineries_maintenance_activity_medium_model,نموذج الصيانة متوسط,Medium Maintenance Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
metal_refineries_maintenance_activity_large,metal_refineries_maintenance_activity_large_model,نموذج الصيانة كبير,Large Maintenance Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
metal_refineries_cleaning_activity_small,metal_refineries_cleaning_activity_small_model,نموذج النظافة صغير,Small Cleaning Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
metal_refineries_cleaning_activity_medium,metal_refineries_cleaning_activity_medium_model,نموذج النظافة متوسط,Medium Cleaning Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
metal_refineries_cleaning_activity_large,metal_refineries_cleaning_activity_large_model,نموذج النظافة كبير,Large Cleaning Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
metal_refineries_security_activity_small,metal_refineries_security_activity_small_model,نموذج الأمن والحراسة صغير,Small Security Services Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
metal_refineries_security_activity_medium,metal_refineries_security_activity_medium_model,نموذج الأمن والحراسة متوسط,Medium Security Services Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
metal_refineries_security_activity_large,metal_refineries_security_activity_large_model,نموذج الأمن والحراسة كبير,Large Security Services Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
water_consulting_activity_small,water_consulting_activity_small_model,نموذج الاستشارات صغير,Small Consulting Model,small,greenfield,100000,300000,200000,500000,2,5,18,true
water_consulting_activity_medium,water_consulting_activity_medium_model,نموذج الاستشارات متوسط,Medium Consulting Model,medium,greenfield,400000,1000000,800000,2000000,6,15,24,true
water_consulting_activity_large,water_consulting_activity_large_model,نموذج الاستشارات كبير,Large Consulting Model,large,greenfield,1500000,5000000,2500000,8000000,16,40,36,true
